id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
37010901,บ้านน้ำปลีก,Ban Nam Plik,37010901,37010901,15.808791741133373,104.45897474884987
37010902,บ้านน้ำปลีก,Ban Nam Plik,37010902,37010902,15.809847268272984,104.46274593472481
37010903,บ้านดงบัง,Ban Dong Bang,37010903,37010903,15.793655031405672,104.49603483080864
37010904,บ้านคำสร้างบ่อ,Ban Kham Sang Bo,37010904,37010904,15.801276435231598,104.5251877605915
37010905,บ้านคำสร้างบ่อ,Ban Kham Sang Bo,37010905,37010905,15.800657029442673,104.52663615345955
37010906,บ้านยางคำ,Ban Yang Kham,37010906,37010906,15.796686335244798,104.47244614362717
37010907,บ้านดอนดู่,Ban Don Du,37010907,37010907,15.815310630024971,104.51560020446777
37010908,บ้านน้ำปลีก,Ban Nam Plik,37010908,37010908,15.808199456378247,104.46078792214394
37010909,บ้านน้ำปลีก,Ban Nam Plik,37010909,37010909,15.807896216235719,104.46833297610283
37010910,บ้านดงบัง,Ban Dong Bang,37010910,37010910,15.794111859153114,104.49576929211617
