id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
37011501,บ้านหนองมะแซว,Ban Nong Masaeo,37011501,37011501,15.806502596121193,104.71643730998039
37011502,บ้านปริญญา,Ban Prinya,37011502,37011502,15.806796805611153,104.71679270267487
37011503,บ้านหนองหินเหนือ,Ban Nong Hin Nuea,37011503,37011503,15.810136311419368,104.70607057213783
37011504,บ้านหนองหิน,Ban Nong Hin,37011504,37011504,15.812265411158773,104.70597133040428
37011505,บ้านห้วยไร่,Ban Huai Rai,37011505,37011505,15.865440465111966,104.71474751830101
37011506,บ้านคำมะเบื่อ,Ban Kham Mabuea,37011506,37011506,15.849232040419862,104.72443699836731
37011507,บ้านดงสีโท,Ban Dong Sitho,37011507,37011507,15.778906942779889,104.7473256289959
37011508,บ้านดงสุวรรณ,Ban Dong Suwan,37011508,37011508,15.78198750813042,104.7419960796833
37011509,บ้านดงสีโทน้อย,Ban Dong Sitho Noi,37011509,37011509,15.781684228742543,104.73549708724022
37011510,บ้านสี่แยกแสงเพชร,Ban Si Yaek Saeng Phet,37011510,37011510,15.854496954098543,104.72447454929352
37011511,บ้านหนองหินใต้,Ban Nong Hin Tai,37011511,37011511,15.810269219513263,104.70697715878487
37011512,บ้านพัฒนาสามัคคี,Ban Phatthana Samakkhi,37011512,37011512,15.80989243129183,104.71451416611671
