id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
38030101,บ้านโซ่,Ban So,38030101,38030101,18.08244108331817,103.43874961137772
38030102,บ้านอ่างทอง,Ban Ang Thong,38030102,38030102,18.08201017721616,103.44507828354836
38030103,บ้านสามเหลี่ยม,Ban Sam Liam,38030103,38030103,18.074819753596167,103.44822719693184
38030104,บ้านโนนชาด,Ban Non Chat,38030104,38030104,18.063102811893234,103.4526689350605
38030105,บ้านไทรงาม,Ban Sai Ngam,38030105,38030105,18.048989170733186,103.44587624073029
38030106,บ้านโนนภูดิน,Ban Non Phu Din,38030106,38030106,18.040330951373615,103.44472959637642
38030107,บ้านโคกสะอาด,Ban Khok Sa-at,38030107,38030107,18.050038584261248,103.4241396188736
38030108,บ้านห้วยทราย,Ban Huai Sai,38030108,38030108,18.006753689099675,103.41068968176842
38030109,บ้านท่าสวาท,Ban Tha Sawat,38030109,38030109,17.991918686156446,103.43499720096588
38030110,บ้านโนนมันปลา,Ban Non Man Pla,38030110,38030110,18.015826774372098,103.47621202468872
38030111,บ้านหนองตาไก้,Ban Nong Takai,38030111,38030111,18.01072019233899,103.47962379455566
38030112,บ้านห้วยสงคราม,Ban Huai Songkhram,38030112,38030112,18.00763244944408,103.47465097904205
38030113,บ้านหนองเอี่ยน,Ban Nong Ian,38030113,38030113,18.07258734762381,103.44358563423157
38030114,บ้านท่าหลี่,Ban Tha Li,38030114,38030114,17.991485007252347,103.44039380550385
38030115,บ้านทรายทอง,Ban Sai Thong,38030115,38030115,18.0084627400257,103.41053947806358
38030116,บ้านอีสานพัฒนา,Ban Isan Phatthana,38030116,38030116,18.077973887031696,103.45650985836983
38030117,บ้านโนนศรีสง่า,Ban Non Si Sa-nga,38030117,38030117,18.037228425313597,103.44230622053146
38030118,บ้านนารวงทอง,Ban Na Ruang Thong,38030118,38030118,18.014812866887958,103.47644001245499
