id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
31090701,บ้านแวง,Ban Waeng,31090701,31090701,15.576628537925583,102.96902775764465
31090702,บ้านโนนสะอาด,Ban Non Sa-at,31090702,31090702,15.577361014813135,102.97036081552505
31090703,บ้านบัว,Ban Bua,31090703,31090703,15.582611002012609,102.96136066317558
31090704,บ้านจิก,Ban Chik,31090704,31090704,15.58420638247188,102.95634761452675
31090705,บ้านแก่นท้าว,Ban Kaen Hao,31090705,31090705,15.562023670059181,102.95749559998512
31090706,บ้านข่า,Ban Kha,31090706,31090706,15.57806636045979,102.94897958636284
31090707,บ้านสระแวง,Ban Sara Waeng,31090707,31090707,15.604155988347648,102.94524863362312
31090708,บ้านโคกแดง,Ban Khok Daeng,31090708,31090708,15.608388765278857,102.94242292642593
31090709,บ้านโคกยาว,Ban Khok Yao,31090709,31090709,15.608388765278857,102.94242292642593
31090710,บ้านหนองไผ่,Ban Nong Phai,31090710,31090710,15.601045610175504,102.99483463168144
31090711,บ้านฝายโสก,Ban Fai Sok,31090711,31090711,15.587537910296078,102.95501589775085
31090712,บ้านโนนศรีจันทร์,Ban Non Si Chan,31090712,31090712,15.576628537925583,102.96902775764465
31090713,บ้านเหล่าเจริญ,Ban Lao Charoen,31090713,31090713,15.587537910296078,102.95501589775085
