id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
24090201,บ้านวังเย็น,Ban Wang Yen,24090201,24090201,13.586178422275804,101.25373497605324
24090202,บ้านวังกะจะ,Ban Wang Kacha,24090202,24090202,13.56958851720111,101.26635745167732
24090203,บ้านหนองศิลาราม,Ban Nong Silaram,24090203,24090203,13.585172058453901,101.26670077443123
24090204,บ้านหนองปลิง,Ban Nong Pling,24090204,24090204,13.59287350080867,101.27063289284706
24090205,บ้านคลองโรงเลื่อย,Ban Khlong Rong Lueai,24090205,24090205,13.597806046687523,101.25184670090675
24090206,บ้านหนองปรือไม้แก้ว,Ban Nong Prue Mai Kaeo,24090206,24090206,13.549018345222972,101.30969658493996
24090207,บ้านทุ่งสะเดา,Ban Thung Sadao,24090207,24090207,13.576417034452012,101.28887057304382
24090208,บ้านสะพานนาค,Ban Saphan Nak,24090208,24090208,13.567506549513892,101.315648406744
24090209,บ้านห้วยแกะ,Ban Huai Kae,24090209,24090209,13.541737918658866,101.28998771309853
24090210,บ้านโกรกแก้ว,Ban Krok Kaeo,24090210,24090210,13.503405095643787,101.3236990571022
24090211,บ้านไทรทอง,Ban Sai Thong,24090211,24090211,13.529923700831496,101.3591618835926
