id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
36061301,บ้านส้มป่อย,Ban Som Poi,36061301,36061301,15.710905790265354,101.83784902095795
36061302,บ้านโนนม่วง,Ban Non Muang,36061302,36061302,15.704218294588701,101.84170603752136
36061303,บ้านโนนเชือก,Ban Non Chueak,36061303,36061303,15.728083126854672,101.8299163877964
36061304,บ้านหนองม่วง,Ban Nong Muang,36061304,36061304,15.69717423942395,101.81654691696167
36061305,บ้านกุดตูม,Ban Kut Tum,36061305,36061305,15.731512998545357,101.83703631162643
36061306,บ้านบ้านซาด,Ban Sat,36061306,36061306,15.73691005627074,101.81995064020157
36061307,บ้านบุตามี,Ban Butami,36061307,36061307,15.711917932645333,101.84750229120255
36061308,บ้านบ้านห้วยน้อย,Ban Huai Noi,36061308,36061308,15.73191058625421,101.81503683328629
36061309,บ้านบ้านห้วยบง,Ban Huai Bong,36061309,36061309,15.689235183923355,101.75987049937248
36061310,บ้านห้วยท่าขี้เหล็ก,Ban Huai Tha Khilek,36061310,36061310,15.70971548373525,101.82358369231224
36061311,บ้านหนองแก,Ban Nong Kae,36061311,36061311,15.719102191566895,101.78514495491982
36061312,บ้านส้มป่อย,Ban Som Poi,36061312,36061312,15.706742269036258,101.83757409453392
36061313,บ้านส้มป่อย,Ban Som Poi,36061313,36061313,15.711102022344296,101.84290364384651
36061314,บ้านส้มป่อย,Ban Som Poi,36061314,36061314,15.704320287001167,101.84015303850174
