id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
36030701,บ้านหนองแดงน้อย,Ban Nong Daeng Noi,36030701,36030701,15.933040193328363,102.27220594882965
36030702,บ้านโคกมั่งงอย,Ban Khok Mang Ngoi,36030702,36030702,15.933154966228932,102.24308118224144
36030703,บ้านโนนประดู่,Ban Non Pradu,36030703,36030703,15.932568205204594,102.2407677769661
36030704,บ้านหนองโน,Ban Nong No,36030704,36030704,15.978057079181639,102.27571696043015
36030705,บ้านโสกกกแดง,Ban Sok Kok Daeng,36030705,36030705,15.967946181277364,102.2821556031704
36030706,บ้านหนองเหมือดแอ่,Ban Nong Mueat Ae,36030706,36030706,15.966222300880737,102.28582218289375
36030707,บ้านหนองโนน้อย,Ban Nong No Noi,36030707,36030707,15.973884880729814,102.31324508786201
36030708,บ้านสระแก้ว,Ban Sa Kaeo,36030708,36030708,15.95891659668655,102.27836027741432
36030709,บ้านหนองเม็ก,Ban Nong Mek,36030709,36030709,15.962756444077002,102.28723168373108
36030710,บ้านโคกมั่งงอย,Ban Khok Mang Ngoi,36030710,36030710,15.927671585334542,102.24400117993355
36030711,บ้านหนองเหมือดแอ่,Ban Nong Mueat Ae,36030711,36030711,15.96766767954076,102.28072464466095
36030712,บ้านหนองโน,Ban Nong No,36030712,36030712,15.956275853018967,102.27847695350647
36030713,บ้านหนองแดงน้อย,Ban Nong Daeng Noi,36030713,36030713,15.93630152355353,102.25532814860344
