id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
36011801,บ้านขวาน้อย,Ban Khwa Noi,36011801,36011801,15.77222684642104,102.03809201717377
36011802,บ้านหนองฉิม,Ban Nong Chim,36011802,36011802,15.773114785354721,102.06104099750519
36011803,บ้านบุ่งคล้า,Ban Bung Khla,36011803,36011803,15.766295108150455,102.07771092653275
36011804,บ้านกุดโง้ง,Ban Kut Ngong,36011804,36011804,15.78849048335409,102.11025953292847
36011805,บ้านสัมพันธ์,Ban Samphan,36011805,36011805,15.759130586481161,102.05308422446251
36011806,บ้านหัวนา,Ban Hua Na,36011806,36011806,15.76377316341197,102.04199060797691
36011807,บ้านโนนแดง,Ban Non Daeng,36011807,36011807,15.780966680809765,102.09134459495544
36011808,บ้านโนนหัวนา,Ban Non Hua Na,36011808,36011808,15.77205132314847,102.0761351287365
36011809,บ้านสัมพันธ์,Ban Samphan,36011809,36011809,15.75985208371987,102.05308422446251
36011810,บ้านขวาน้อย,Ban Khwa Noi,36011810,36011810,15.769593981386524,102.04025119543076
36011811,บ้านบุ่งคล้า,Ban Bung Khla,36011811,36011811,15.766669396152253,102.07476183772087
36011812,บ้านบุ่งคล้า,Ban Bung Khla,36011812,36011812,15.774552515444084,102.08204671740532
