id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
50130601,บ้านป่าเหียง,Ban Pa Hiang,50130601,50130601,18.720524789939564,99.18122559785843
50130602,บ้านโห้ง,Ban Hong,50130602,50130602,18.737048683964936,99.21575099229813
50130603,บ้านริมออน,Ban Rin On,50130603,50130603,18.736254913552404,99.20772045850754
50130604,บ้านป่าแงะ,Ban Pa Ngae,50130604,50130604,18.724557480358623,99.19341757893562
50130605,บ้านริมออนใต้,Ban Rin On Tai,50130605,50130605,18.736028847056478,99.19981062412262
50130606,บ้านแม่ผาแหน,Ban Mae Pha Haen,50130606,50130606,18.728921568587253,99.20788675546646
50130607,บ้านป่าตึง,Ban Pa Tueng,50130607,50130607,18.720785171281058,99.20835211873055
50130608,บ้านปง,Ban Pong,50130608,50130608,18.718924388497427,99.201590269804
50130609,บ้านป่าห้า,Ban Pa Ha,50130609,50130609,18.72492835603273,99.19816508889198
50130610,บ้านแพะ,Ban Phae,50130610,50130610,18.736145690451696,99.23393368721008
50130611,บ้านป่าเปาง่าม,Ban Pa Pao Ngam,50130611,50130611,18.733401119355193,99.22317937016487
