id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
50120801,บ้านกลาง,Ban Klang,50120801,50120801,18.609499837247856,98.84346842765808
50120802,บ้านป่าลาน,Ban Pa Lan,50120802,50120802,18.603954,98.8568699
50120803,บ้านพนัง,Ban Phanang,50120803,50120803,18.60340281036697,98.84187117218971
50120804,บ้านร้องส้มป่อย,Ban Rong Som Poi,50120804,50120804,18.595220986703076,98.85655090212822
50120805,บ้านป่าอ้อย,Ban Pa Oi,50120805,50120805,18.58420534584554,98.8551253080368
50120806,บ้านร้อง,Ban Rong,50120806,50120806,18.57494967403333,98.85782092809677
50120807,บ้านดงก๋ำ,Ban Dong Kam,50120807,50120807,18.564824,98.860715
50120808,บ้านท่าจำปี,Ban Tha Champi,50120808,50120808,18.564206,98.846301
50120809,บ้านกลาง,Ban Klang,50120809,50120809,18.576525,98.840419
50120810,บ้านท่าลา,Ban Tha La,50120810,50120810,18.580995,98.839602
50120811,บ้านหัวริน,Ban Hua Rim,50120811,50120811,18.597136,98.840284
50120812,บ้านทุ่งโค้ง,Ban Thung Khong,50120812,50120812,18.591718,98.844353
