id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
50141001,บ้านแม่แฝก,Ban Mae Faek,50141001,50141001,18.998198749803414,98.9778296649456
50141002,บ้านสบแฝก,Ban Sop Faek,50141002,50141002,18.988715979726546,98.96386474370956
50141003,บ้านเจดีย์แม่ครัว,Ban Chedi Mae Khrua,50141003,50141003,18.981337863936776,98.97826820611954
50141004,บ้านขัวมุง,Ban Khua Mung,50141004,50141004,18.972556744717842,98.96812006831169
50141005,บ้านห้วยบง,Ban Huai Bong,50141005,50141005,18.959986662801185,98.98803010582924
50141006,บ้านแพะเจดีย์,Ban Phae Chedi,50141006,50141006,18.970466658564405,98.98960322141647
50141007,บ้านวังขุมเงิน,Ban Wang Chum Ngoen,50141007,50141007,18.996202822492442,98.9852325618267
50141008,บ้านห้วยบงใน,Ban Huai Bong Nai,50141008,50141008,18.954881500737844,98.9985403418541
50141009,บ้านกลางพัฒนา,Ban Klang Phatthana,50141009,50141009,18.9726594727911,98.97480949759483
50141010,บ้านแพะแม่แฝกใหม่,Ban Phae Mae Faek Mai,50141010,50141010,18.994044556495865,98.98187443614006
50141011,บ้านเจดีย์พัฒนา,Ban Chedi Phatthana,50141011,50141011,18.984817717267095,98.98637250065804
50141012,บ้านป่าป๋อ,Ban Pa Po,50141012,50141012,18.962027415545286,98.97658914327621
50141013,บ้านพระธาตุเจดีย์,Ban Phra That Chedi,50141013,50141013,18.983005514091122,98.98655623197556
50141014,บ้านเจดีย์เจริญ,Ban Chedi Charoen,50141014,50141014,18.971379806224505,98.98178860545158
