id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
57080301,บ้านแซว,Ban Saeo,57080301,57080301,20.260910068506565,100.18546611070633
57080302,บ้านทุ่ง,Ban Thung,57080302,57080302,20.295234190034318,100.22284001111984
57080303,บ้านท่าขันทอง,Ban Tha Kham Thong,57080303,57080303,20.2755954576014,100.17921522259712
57080304,บ้านห้วยเดื่อ,Ban Huai Duea,57080304,57080304,20.194776538070702,100.28345927596092
57080305,บ้านป่าตึง,Ban Pa Tueng,57080305,57080305,20.23019118589517,100.17585039138794
57080306,บ้านเกาะผาคำ,Ban Ko Pha Kham,57080306,57080306,20.237625476012028,100.16391187906265
57080307,บ้านสบกก,Ban Sop Kok,57080307,57080307,20.24014082304596,100.1501776278019
57080308,บ้านสวนดอก,Ban Suan Dok,57080308,57080308,20.298825298099022,100.17048060894012
57080309,บ้านห้วยกว๊าน,Ban Huai Kwan,57080309,57080309,20.237166191142485,100.23020535707474
57080310,บ้านสันทรายกองงาม,Ban San Sai Kong Ngam,57080310,57080310,20.225312397098907,100.14369741082191
57080311,บ้านแม่แอบ,Ban Mae Aeb,57080311,57080311,20.190981633650335,100.21990433335304
57080312,บ้านห้วยข่อยหร่อย,Ban Huai Khoi Roi,57080312,57080312,20.195663890445115,100.24178713560104
57080313,บ้านห้วยน้ำเย็น,Ban Huai Nam Yen,57080313,57080313,20.20430933288298,100.20259872078896
57080314,บ้านแซวกลาง,Ban Saeo Klang,57080314,57080314,20.25288051208242,100.17783790826797
57080315,บ้านหัวกว้าน,Ban Hua Kwan,57080315,57080315,20.24452842698933,100.17607569694519
