id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
57090601,บ้านแม่สาย,Ban Mae Sai,57090601,57090601,20.442904,99.874714
57090602,บ้านดอยงาม,Ban Doi Ngam,57090602,57090602,20.434307999999998,99.877597
57090603,บ้านเวียงพาน,Ban Wiang Phan,57090603,57090603,20.432918,99.881795
57090604,บ้านป่ายางใหม่,Ban Pa Yang Mai,57090604,57090604,20.41763,99.89041999999999
57090605,บ้านป่าเหมือด,Ban Pa Mueat,57090605,57090605,20.410898,99.881318
57090606,บ้านผาหมี,Ban Pha Mi,57090606,57090606,20.3995599,99.8512367
57090607,บ้านห้วยน้ำริน,Ban Huai Nam Rin,57090607,57090607,20.430083,99.869089
57090608,บ้านป่าเหมือดสันติสุข,Ban Pa Mueat Santi Suk,57090608,57090608,20.413334,95.89066
57090609,บ้านป่าเหมือดสุขสำราญ,Ban Pa Mueat Suk Samran,57090609,57090609,20.4117256,99.8891729
57090610,บ้านป่ายางแตก,Ban Pa Yang Taek,57090610,57090610,20.422915,99.873509
