id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
57010401,บ้านป่าห้า,Ban Pa Ha,57010401,57010401,19.98589469887159,99.86817017197609
57010402,บ้านนางแล,Ban Nang Lae,57010402,57010402,19.993360769525975,99.86901372671127
57010403,บ้านนางแลเหนือ,Ban Nang Lae Nuea,57010403,57010403,19.99642195783006,99.86442983150482
57010404,บ้านม่วงคำ,Ban Muang Kham,57010404,57010404,20.004748240116662,99.87645283341408
57010405,บ้านเด่น,Ban Den,57010405,57010405,20.008800952515394,99.86853495240211
57010406,บ้านป่าอ้อ,Ban Pa O,57010406,57010406,20.016180250278012,99.87311750650406
57010407,บ้านนางแลใน,Ban Nang Lae Nai,57010407,57010407,20.02803479060802,99.85078945755959
57010408,บ้านป่ารวก,Ban Pa Ruak,57010408,57010408,20.023246712274254,99.87134590744972
57010409,บ้านดอยกิ่ว,Ban Doi Kio,57010409,57010409,19.99723734047799,99.87417832016945
57010410,บ้านป่าซางวิวัฒน์,Ban Pa Sang Wiwat,57010410,57010410,20.030656831700657,99.87066328525543
57010411,บ้านดาวดึงส์,Ban Dao Dueng,57010411,57010411,19.987971723673105,99.88670960068703
57010412,บ้านขัวแตะ,Ban Khua Tae,57010412,57010412,20.029032708568174,99.87608000636101
57010413,บ้านแม่ปูคา,Ban Mae Pu Kha,57010413,57010413,19.992045032595186,99.86035957932472
57010414,บ้านร่องปลาค้าว,Ban Rong Pla Khao,57010414,57010414,20.01236967252473,99.862752109766
57010415,บ้านใหม่ม่วงคำ,Ban Mai Muang Kham,57010415,57010415,19.998210249024034,99.88209217786789
57010416,บ้านสันต้นขาม,Ban San Ton Kham,57010416,57010416,19.985647672255084,99.87677469849586
