id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
57051101,บ้านป่าเหียง,Ban Pa Hiang,57051101,57051101,19.5795243329888,99.69184041023254
57051102,บ้านแม่คาวหลวง,Ban Mae Dao Luang,57051102,57051102,19.59363134226235,99.69739928841591
57051103,บ้านหินถ้ำ,Ban Hin Tham,57051103,57051103,19.621895969995848,99.68315675854683
57051104,บ้านป่าข่า,Ban Pa Kha,57051104,57051104,19.59211393467,99.71799999475479
57051105,บ้านป่าต๊าก,Ban Pa Tak,57051105,57051105,19.595464594135823,99.73577365279198
57051106,บ้านแม่คาวโตน,Ban Mae Dao Ton,57051106,57051106,19.59296676750863,99.74640861153603
57051107,บ้านสันผักฮี้,Ban San Phak Hi,57051107,57051107,19.577409122697837,99.71814751625061
57051108,บ้านทาทรายมูล,Ban Tha Sai Mun,57051108,57051108,19.607207776315857,99.7234958410263
57051109,บ้านหัวฝาย,Ban Hua Fai,57051109,57051109,19.59286316435305,99.71107587218285
57051110,บ้านผาจ้อ,Ban Pha Cho,57051110,57051110,19.604135301922057,99.68993067741394
57051111,บ้านป่าเปา,Ban Pa Pao,57051111,57051111,19.575057592876487,99.6972544491291
57051112,บ้านใหม่พัฒนา,Ban Mai Phatthana,57051112,57051112,19.638113703388157,99.66782927513123
57051113,บ้านร่องลึก,Ban Rong Luek,57051113,57051113,19.58827170877174,99.7257636487484
57051114,บ้านป่าข่าดอนชัย,Ban Pa Kha Don Chai,57051114,57051114,19.596009132882184,99.7236379981041
57051115,บ้านแม่คาวดวงดี,Ban Mae Dao Duang Di,57051115,57051115,19.588772049859312,99.70344230532646
57051116,บ้านสันโค้ง,Ban San Khong,57051116,57051116,19.593050155365912,99.7363731265068
57051117,บ้านแม่คาวโตนพัฒนา,Ban Mae Dao Ton Phatthana,57051117,57051117,19.592366626352494,99.74745333194733
57051118,บ้านเวียงสา,Ban Wiang Sa,57051118,57051118,19.631622511805688,99.67459246516228
