id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
86050101,บ้านปากน้ำละแม,Ban Pak Nam Lamae,86050101,86050101,9.793837977081036,99.13513451814651
86050102,บ้านท่าแพ,Ban Tha Phae,86050102,86050102,9.791028329658687,99.11293253302574
86050103,บ้านหาดสูง,Ban Hat Sung,86050103,86050103,13.659355151560794,100.5117715895176
86050104,บ้านทรายทอง,Ban Sai Thong,86050104,86050104,9.811000626532884,99.12432253360748
86050105,บ้านแหลมสันติ,Ban Laem Santi,86050105,86050105,9.77213329604392,99.13674518465996
86050106,บ้านทุ่งสวรรค์,Ban Thung Sawan,86050106,86050106,9.764739927080191,99.0797871351242
86050107,บ้านควนทัง,Ban Khuan Thang,86050107,86050107,9.77981329134699,99.10173565149307
86050108,บ้านบ่อโว้,Ban Bo Wo,86050108,86050108,9.719540858690713,99.03990805149078
86050109,บ้านลุ่มพวาฝั่งซ้าย,Ban Lum Phawa Fang Sai,86050109,86050109,9.774221489916972,99.10596549510956
86050110,บ้านลุ่มพวาฝั่งขวา,Ban Lum Phawa Fang Khwa,86050110,86050110,9.779706240489078,99.10184562206268
86050111,บ้านเขาเข่า,Ban Khao Khao,86050111,86050111,9.718162161894332,99.02124121785164
86050112,บ้านทุ่งขี้หนอน,Ban Thung Khi Non,86050112,86050112,9.760153682546854,99.07053619623184
86050113,บ้านคลองสง,Ban Khlong Song,86050113,86050113,9.741354707125206,98.96888583898544
86050114,บ้านห้วยกง,Ban Huai Kong,86050114,86050114,9.76168552167963,99.11316990852356
86050115,บ้านคลองกลาง,Ban Khlong Klang,86050115,86050115,9.703436321238815,98.95930632948875
86050116,บ้านสระขาว,Ban Sa Khao,86050116,86050116,13.72706875088845,100.5340875685215
86050117,บ้านราชดำเนิน,Ban Rat Damnoen,86050117,86050117,9.73265207366336,98.95688161253929
86050118,บ้านยวนไทร,Ban Yuan Sai,86050118,86050118,9.726422360978432,98.97634774446487
86050119,บ้านทรัพย์ทวี,Ban Sap Thawi,86050119,86050119,9.782252984268283,98.91838654875755
86050120,บ้านรุ่งเรือง,Ban Rung Rueang,86050120,86050120,9.745427049260114,98.94542723894119
