id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
86030301,บ้านหนองปลาไหล,Ban Nong Pla Lai,86030301,86030301,10.582822741966568,99.27827328443527
86030302,บ้านปากด่าน,Ban Pak Dan,86030302,86030302,10.581308019651614,99.25594791769981
86030303,บ้านดอนคา,Ban Don Kha,86030303,86030303,10.586367611159307,99.24818828701973
86030304,บ้านเนินสำลี,Ban Noen Samli,86030304,86030304,10.604618622118588,99.26351442933083
86030305,บ้านชายทะเล,Ban Chai Thale,86030305,86030305,10.59215875032772,99.27875474095345
86030306,บ้านพรุใหญ่,Ban Phru Yai,86030306,86030306,10.592109974971095,99.21127304434776
86030307,บ้านคลองใหญ่,Ban Khlong Yai,86030307,86030307,10.61247366993439,99.25947368144989
86030308,บ้านทุ่งวัวแล่น,Ban Thung Wua Laem,86030308,86030308,10.56519138579876,99.27396431565285
86030309,บ้านห้วยตาอ่อน,Ban Huai Ta On,86030309,86030309,10.604544802958044,99.2712177336216
86030310,บ้านเขาลูกกลาง,Ban Khao Luk Klang,86030310,86030310,10.62137115614759,99.23686131834984
86030311,บ้านพรุปลิง,Ban Phru Pling,86030311,86030311,10.633659806170963,99.2444372177124
