id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
860208,หินแก้ว,Hin Kaeo,hin-kaeo,860208,6,86190,10.622,98.992
860207,หงษ์เจริญ,Hong Charoen,hong-charoen,860207,14,86140,10.808,99.134
860202,คุริง,Khuring,khuring,860202,7,86140,10.744,99.118
860204,นากระตาม,Na Kratam,na-kratam,860204,11,86140,10.606,99.184
860205,รับร่อ,Rap Ro,rap-ro,860205,23,86190,10.768,99.011
860203,สลุย,Salui,salui,860203,8,86140,10.835,99.233
860209,ทรัพย์อนันต์,Sap Anan,sap-anan,860209,7,86140,10.713,99.202
860210,สองพี่น้อง,Song Phi Nong,song-phi-nong,860210,7,86140,10.949,99.189
860206,ท่าข้าม,Tha Kham,tha-kham,860206,15,86140,10.660,99.105
860201,ท่าแซะ,Tha Sae,tha-sae,860201,18,86140,10.663,99.166
