id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
46120701,บ้านคำขาม,Ban Kham Kham,46120701,46120701,16.744999043584222,103.32463905215263
46120702,บ้านหนองแข้,Ban Nong Khae,46120702,46120702,16.773004907637443,103.35488632321358
46120703,บ้านภูฮัง,Ban Phu Hang,46120703,46120703,16.805808217067234,103.28903406858444
46120704,บ้านโคกกลาง,Ban Khok Klang,46120704,46120704,16.78519783611484,103.29602256417274
46120705,บ้านภูฮัง,Ban Phu Hang,46120705,46120705,16.811437711381885,103.28507512807846
46120706,บ้านโคกกลาง,Ban Khok Klang,46120706,46120706,16.78386379118123,103.29749375581741
46120707,บ้านหนองแข้,Ban Nong Khae,46120707,46120707,16.773019032164697,103.35487827658653
46120708,บ้านห้วยหินลาด,Ban Huai Hin Lat,46120708,46120708,16.811967915121155,103.28501343727112
46120709,บ้านโนนศรีสวัสดิ์,Ban Non Si Sawat,46120709,46120709,16.781243180931085,103.35366994142532
46120710,บ้านไทรทอง,Ban Sai Thong,46120710,46120710,16.811150142632055,103.28358381986618
46120711,บ้านดงมูล,Ban Dong Mun,46120711,46120711,16.760233337526422,103.34816336631775
46120712,บ้านประชาสามัคคี,Ban Pracha Samakkhi,46120712,46120712,16.806678649228708,103.28723832964897
46120713,บ้านคำขาม,Ban Kham Kham,46120713,46120713,16.744864198651655,103.32453310489655
46120714,บ้านโคกกลาง,Ban Khok Klang,46120714,46120714,16.78435812076222,103.29677224159241
