id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
46130301,บ้านแซงบาดาล,Ban Saeng Badan,46130301,46130301,16.795425630593463,103.72642055153847
46130302,บ้านบาก,Ban Bak,46130302,46130302,16.7044901,103.7497809
46130303,บ้านบึงบาดาล,Ban Bueng Badan,46130303,46130303,16.788488611417325,103.70621278882027
46130304,บ้านเหล่าภูพาน,Ban Lao Phu Phan,46130304,46130304,13.72706875088845,100.5340875685215
46130305,บ้านหนองแห้ว,Ban Nong Haeo,46130305,46130305,16.79363073489057,103.68247926235199
46130306,บ้านบัวสามัคคี,Ban Bua Samakkhi,46130306,46130306,16.85166222491046,103.69848132133484
46130307,บ้านคำเม็ก,Ban Kham Mek,46130307,46130307,16.81064946385743,103.6910542845726
46130308,บ้านคำบก,Ban Kham Bok,46130308,46130308,16.837173347652108,103.7427082657814
46130309,บ้านโพธิ์คำ,Ban Pho Kham,46130309,46130309,16.852884127683648,103.7146107852459
46130310,บ้านหนองหญ้าปล้อง,Ban Nong Ya Plong,46130310,46130310,16.887352136684154,103.75778764486313
46130311,บ้านโนนชายสำราญ,Ban Non Chai Samran,46130311,46130311,16.83118904585653,103.70354130864143
46130312,บ้านบัวสามัคคี,Ban Bua Samakkhi,46130312,46130312,16.851114163014188,103.69578033685684
46130313,บ้านคำเม็ก,Ban Kham Mek,46130313,46130313,16.81265217102453,103.69539812207222
46130314,บ้านบาก,Ban Bak,46130314,46130314,16.813224735980538,103.73495936393738
46130315,บ้านโป่งนกแซว,Ban Pong Nok Saeo,46130315,46130315,16.8147068,103.6976886
