id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
62020701,บ้านหนองแม่แตง,Ban Nong Mae Taeng,62020701,62020701,16.41250069108841,99.94048655033112
62020702,บ้านประดู่งาม,Ban Pradu Ngam,62020702,62020702,13.72706875088845,100.5340875685215
62020703,บ้านหนองปืนแตก,Ban Nong Puen Taek,62020703,62020703,13.72706875088845,100.5340875685215
62020704,บ้านจิกราด,Ban Chik Rat,62020704,62020704,13.246318658079216,100.41014805436134
62020705,บ้านตอรัง,Ban To Rang,62020705,62020705,13.72706875088845,100.5340875685215
62020706,บ้านหนองชุมแสง,Ban Nong Chum Saeng,62020706,62020706,13.72706875088845,100.5340875685215
62020707,บ้านโปร่งอีรัญ,Ban Prong I Rat,62020707,62020707,13.65535176736976,100.48155918717384
62020708,บ้านหนองรวก,Ban Nong Ruak,62020708,62020708,13.72706875088845,100.5340875685215
62020709,บ้านไผ่ตาสุ่ม,Ban Phai Talum,62020709,62020709,13.72706875088845,100.5340875685215
62020710,บ้านตลิ่งชัน,Ban Taling Chan,62020710,62020710,13.747412372685469,100.53546085953712
62020711,บ้านทุ่งวาน,Ban Thung Wan,62020711,62020711,13.72706875088845,100.5340875685215
