id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
71050750,ใหม่เจริญผล,Mai Charoen Phon,71050750,71050750,13.947599941716563,99.75473284721375
71050751,ศาลเจ้าแม่ทับทิม,San Chao Mae Thapthim,71050751,71050751,13.956372317249606,99.748654961586
71050752,ริมน้ำ,Rim Nam,71050752,71050752,13.958027837928103,99.74774301052094
71050753,ท่าเรือสามัคคี,Tha Ruea Samakkhi,71050753,71050753,13.959389208445664,99.74903717637062
71050754,ใจกุศล,Chai Kuson,71050754,71050754,13.95936968598073,99.74751502275467
71050755,หนองรี,Nong Ri,71050755,71050755,13.965530893818121,99.73786845803261
71050756,วุ้นเส้นพัฒนา,Wunsen Phatthana,71050756,71050756,13.96409537574421,99.74257707595825
71050757,ทวีใจภักดิ์,Thawi Chai Phak,71050757,71050757,13.962468531214128,99.74908411502838
71050758,รถไฟ,Rot Fai,71050758,71050758,13.957200079074944,99.75151017308235
71050759,รวยน้ำใจ,Ruai Nam Chai,71050759,71050759,13.958178812492775,99.7508879005909
71050760,ร่วมจิตพัฒนา,Ruam Chit Phatthana,71050760,71050760,13.9596651257733,99.75051373243332
71050761,ส่งเสริมร่วมพัฒนา,Song Soem Ruam Phatthana,71050761,71050761,13.958539328941205,99.75247040390968
71050762,สวนหลวง,Suan Luang,71050762,71050762,13.954378388198409,99.75303635001183
71050763,ชลประทาน,Chonprathan,71050763,71050763,13.947456769615865,99.7615697979927
71050764,ใหม่ร่วมใจภักดิ์,Mai Ruam Chai Phak,71050764,71050764,13.978023297600549,99.75340381264687
71050765,ก้าวหน้าพัฒนา,Kao Na Phatthana,71050765,71050765,13.96587708269501,99.75307792425156
71050766,ตะคร้ำเอน,Takhram En,71050766,71050766,13.979830924436802,99.75459069013596
71050767,ศาลเจ้าพ่อเขาแดง,San Chao Pho Khao Daeng,71050767,71050767,13.979525099439954,99.75696310400963
71050768,บ้านคู้ร่วมใจพัฒนา,Ban Khu Ruam Chai Phatthana,71050768,71050768,13.969128109246554,99.75984111428261
