id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
710609,บ้านใหม่,Ban Mai,ban-mai,710609,11,71110,13.868,99.604
710607,เขาน้อย,Khao Noi,khao-noi,710607,8,71110,13.919,99.588
710608,ม่วงชุม,Muang Chum,muang-chum,710608,5,71110,13.937,99.617
710605,หนองขาว,Nong Khao,nong-khao,710605,13,71110,14.055,99.613
710613,หนองตากยา,Nong Tak Ya,nong-tak-ya,710613,16,71110,13.795,99.546
710610,พังตรุ,Phang Tru,phang-tru,710610,9,71110,13.863,99.645
710612,รางสาลี่,Rang Sali,rang-sali,710612,15,71110,13.866,99.543
710604,ท่าล้อ,Tha Lo,tha-lo,710604,6,71110,13.987,99.589
710601,ท่าม่วง,Tha Muang,tha-muang,710601,5,71110,13.974,99.625
710611,ท่าตะคร้อ,Tha Takhro,tha-takhro,710611,7,71130,13.917,99.699
710606,ทุ่งทอง,Thung Thong,thung-thong,710606,8,71110,14.008,99.666
710602,วังขนาย,Wang Khanai,wang-khanai,710602,7,71110,13.960,99.663
710603,วังศาลา,Wang Sala,wang-sala,710603,10,71110,13.971,99.697
