id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
40071001,บ้านหนองแสง,Ban Nong Saeng,40071001,40071001,16.659629554780555,102.8696720302105
40071002,บ้านหนองแสง,Ban Nong Saeng,40071002,40071002,16.657143428805647,102.87181243300438
40071003,บ้านท่ามะเดื่อน้อย,Ban Tha Maduea Noi,40071003,40071003,16.650335004401057,102.86938905715942
40071004,บ้านท่าโพธ์,Ban Tha Pho,40071004,40071004,16.645598901639524,102.86795675754547
40071005,บ้านท่ากระเสริม,Ban Tha Krasoem,40071005,40071005,16.61494503347242,102.8567223250866
40071006,บ้านกุดพังเครือ,Ban Kut Phang Khruea,40071006,40071006,16.594700902362657,102.87490904331207
40071007,บ้านท่ามะเดื่อ,Ban Tha Maduea,40071007,40071007,16.582901980720354,102.8861528635025
40071008,บ้านท่ามะเดื่อ,Ban Tha Maduea,40071008,40071008,16.58117706683634,102.89053425192833
40071009,บ้านบึงเป่ง,Ban Bueng Peng,40071009,40071009,16.564451541377586,102.88169369101524
40071010,บ้านหนองแสง,Ban Nong Saeng,40071010,40071010,16.661678817811904,102.87077441811562
