id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
40250301,บ้านหัน,Ban Han,40250301,40250301,15.962003437495774,102.6960526406765
40250302,บ้านถนนงาม,Ban Thanon Ngam,40250302,40250302,15.940606037215549,102.67704248428345
40250303,บ้านหนองไฮ,Ban Nong Hai,40250303,40250303,15.96383308384356,102.71387726068497
40250304,บ้านห้วยแคน,Ban Huai Khaen,40250304,40250304,15.99061440733726,102.71050840616226
40250305,บ้านวังยาว,Ban Wang Yao,40250305,40250305,15.959438809940403,102.755126953125
40250306,บ้านหนองขี้เห็น,Ban Nong Khi Hen,40250306,40250306,15.973807521469995,102.74332657456398
40250307,บ้านห้างข้าว,Ban Hang Khao,40250307,40250307,15.925889325332506,102.68308684229851
40250308,บ้านหนองน้ำขุ่นเหนือ,Ban Nong Nam Khun Nuea,40250308,40250308,15.920334814436952,102.73418694734573
40250309,บ้านหนองน้ำขุ่นใต้,Ban Nong Nam Khun Tai,40250309,40250309,15.919326293775542,102.73434117436409
40250310,บ้านหนองแวง,Ban Nong Waeng,40250310,40250310,15.947534588538307,102.72913634777069
40250311,บ้านหนองไฮน้อย,Ban Nong Hai Noi,40250311,40250311,15.959263449592141,102.7145303785801
40250312,บ้านหนองแวงน้อย,Ban Nong Waeng Noi,40250312,40250312,15.915232834406236,102.68600776791573
40250313,บ้านหนองทุ่ม,Ban Nong Thum,40250313,40250313,15.91900000659514,102.67390295863152
40250314,บ้านกุดหลง,Ban Kut Long,40250314,40250314,15.930711191976297,102.71707579493523
40250315,บ้านดอนกู่,Ban Don Ku,40250315,40250315,15.989200135751762,102.70760759711266
40250316,บ้านหนองน้ำขุ่นเหนือ,Ban Nong Nam Khun Nuea,40250316,40250316,15.921112481003385,102.73337826132774
