id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
40080301,บ้านบ่อนกเขา,Ban Bo Nok Khao,40080301,40080301,16.767012161267754,102.63169437646866
40080302,บ้านพระบาท,Ban Phra Bat,40080302,40080302,16.75691895824571,102.6333774626255
40080303,บ้านท่าเรือ,Ban Tha Ruea,40080303,40080303,16.74541770438547,102.63105869293213
40080304,บ้านเชื่อนอุบลรัตน์,Ban Khuean Ubolratana,40080304,40080304,16.7625884251019,102.63387367129326
40080305,บ้านโคกน้ำเกลี้ยง,Ban Khok Nam Kliang,40080305,40080305,16.74480512369874,102.63816252350807
40080306,บ้านโนนจิก,Ban Non Chik,40080306,40080306,16.758703927527403,102.65063747763634
40080307,บ้านภูคำเบ้า,Ban Phu Kham Bao,40080307,40080307,16.722521001707495,102.62613415718079
40080308,บ้านโนนสวรรค์,Ban Non Sawan,40080308,40080308,16.694408804588193,102.61236503720284
40080309,บ้านแก่งศิลา,Ban Kaeng Sila,40080309,40080309,16.668229888324078,102.60040506720543
40080310,บ้านภูเขาวง,Ban Phu Khao Wong,40080310,40080310,16.65710359913456,102.58484557271004
