id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
52060201,บ้านแป้นเหนือ,Ban Paen Nuea,52060201,52060201,18.67603942496533,99.54707890748978
52060202,บ้านสบหก,Ban Sop Hok,52060202,52060202,18.65569642663248,99.53963443636894
52060203,บ้านสาแพะ,Ban Sa Phae,52060203,52060203,18.641288027423062,99.56076353788376
52060204,บ้านสาเหนือ,Ban Sa Nuea,52060204,52060204,18.648872952303964,99.53902959823608
52060205,บ้านสามัคคี,Ban Samakkhi,52060205,52060205,18.632905967418754,99.54149320721626
52060206,บ้านแป้นใต้,Ban Paen Tai,52060206,52060206,18.667047945266678,99.54763010144234
52060207,บ้านสาแพะเหนือ,Ban Sa Phae Nuea,52060207,52060207,18.646781381788447,99.56214621663094
52060208,บ้านแป้นพัฒนา,Ban Paen Phatthana,52060208,52060208,18.679576425743985,99.54801097512245
52060209,บ้านแป้นโป่งชัย,Ban Paen Bong Chai,52060209,52060209,18.67045935126629,99.55098554491997
52060210,บ้านสามัคคีเหนือ,Ban Samakkhi Nuea,52060210,52060210,18.63838561440081,99.5405638217926
