id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
52130201,บ้านกลาง,Ban Klang,52130201,52130201,18.73535191579592,99.47953283786774
52130202,บ้านทุ่งสะแกง,Ban Thung Sakaeng,52130202,52130202,18.70853665287566,99.48605597019196
52130203,บ้านป่าเหว,Ban Pa We,52130203,52130203,18.679886417983692,99.47343483567238
52130204,บ้านขอใต้,Ban Kho Thai,52130204,52130204,18.650144909379673,99.47403967380524
52130205,บ้านหนอง,Ban Nong,52130205,52130205,18.62766506365935,99.4884230196476
52130206,บ้านแม่กองปิน,Ban Mae Kong Pin,52130206,52130206,18.622035105832797,99.47786048054695
52130207,บ้านปางดะ,Ban Pang Da,52130207,52130207,18.68863457169838,99.49350446462631
52130208,บ้านม่วง,Ban Muang,52130208,52130208,18.63402427707413,99.48591247200966
52130209,บ้านขอเหนือ,Ban Kho Nuea,52130209,52130209,18.66032530526844,99.47612375020981
52130210,บ้านทุ่งแล้ง,Ban Thung Laeng,52130210,52130210,18.64975099761767,99.48683246970177
52130211,บ้านทุ่งบอม,Ban Thung Bom,52130211,52130211,18.64912963172214,99.4795972108841
52130212,บ้านทุ่งส้าน,Ban Thung San,52130212,52130212,13.72706875088845,100.5340875685215
52130213,บ้านวังฆ้อง,Ban Wang Khong,52130213,52130213,18.69180544354331,99.4915920495987
