id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
52080501,บ้านห้วยริน,Ban Huai Rim,52080501,52080501,17.49830008374436,99.34832856059074
52080502,บ้านท่าเวียง,Ban Tha Wiang,52080502,52080502,17.4906934376294,99.35118108987808
52080503,บ้านสะเลียมหวาน,Ban Saliam Wan,52080503,52080503,17.475686422139766,99.35383379459381
52080504,บ้านปางอ้า,Ban Pang A,52080504,52080504,17.425042048686223,99.36162024736404
52080505,บ้านแม่พุ,Ban Mae Phu,52080505,52080505,17.324926146840564,99.451754540205
52080506,บ้านแม่แสลม,Ban Mae Saelom,52080506,52080506,17.385051403533765,99.30318161845207
52080507,บ้านท่าเกวียน,Ban Tha Kwian,52080507,52080507,17.34543477280194,99.4424057006836
52080508,บ้านหนองหอย,Ban Nong Hoi,52080508,52080508,17.50163836331402,99.35483023524284
52080509,บ้านหอรบ,Ban Horop,52080509,52080509,17.32923033183722,99.45556998252869
52080510,บ้านชัยชมภู,Ban Chai Chomphu,52080510,52080510,17.383274976165062,99.30422097444534
52080511,บ้านห้วยเตาปูน,Ban Huai Tao Pun,52080511,52080511,17.387618745758736,99.39786225557327
52080512,บ้านท่าเวียงทอง,Ban Tha Wiang Thong,52080512,52080512,17.487734,99.351496
52080513,บ้านแม่พุเหนือ,Ban Mae Phu Nuea,52080513,52080513,17.32578904031687,99.44434091448784
52080514,บ้านเด่นไม้ซุง,Ban Den Mai Sung,52080514,52080514,17.513127,99.352241
