id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
42090501,บ้านปากปวน,Ban Pak Puan,42090501,42090501,17.364498569614163,101.74910008907318
42090502,บ้านบุ่งตาข่าย,Ban Bung Takhai,42090502,42090502,17.386672954384,101.76252454519272
42090503,บ้านโนนสว่าง,Ban Non Sawang,42090503,42090503,17.365934706319116,101.7397204041481
42090504,บ้านวังเดื่อ,Ban Wang Duea,42090504,42090504,17.380538629955904,101.7571359872818
42090505,บ้านป่าเป้า,Ban Pa Pao,42090505,42090505,17.335993664391435,101.76001265645027
42090506,บ้านกกเกลือ,Ban Kok Kluea,42090506,42090506,17.32988196794724,101.76107078790665
42090507,บ้านท่าทิศเฮือง,Ban Tha Thit Hueang,42090507,42090507,17.332773975348914,101.7700307071209
42090508,บ้านปากปวน,Ban Pak Puan,42090508,42090508,17.36203330335674,101.75033256411552
42090509,บ้านกุดโง้ง,Ban Kut Ngong,42090509,42090509,17.36953779832017,101.7607931792736
42090510,บ้านปากปวน,Ban Pak Puan,42090510,42090510,17.36578750922452,101.75019845366478
42090511,บ้านปากปวน,Ban Pak Puan,42090511,42090511,17.36257090318757,101.74797624349594
42090512,บ้านป่าเป้า,Ban Pa Pao,42090512,42090512,17.3361690494092,101.77111431956291
