id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
44070301,บ้านหนองแดง,Ban Nong Daeng,44070301,44070301,15.902474738077677,102.93054610490799
44070302,บ้านนาด่าน,Ban Na Dan,44070302,44070302,15.899366344896045,102.92896091938019
44070303,บ้านดอนแฮด,Ban Don Haet,44070303,44070303,15.903789019332747,102.91134685277939
44070304,บ้านเก่าใหญ่,Ban Kao Yai,44070304,44070304,15.902939058246208,102.91101157665253
44070305,บ้านโนนสะอาด,Ban Non Sa-at,44070305,44070305,15.907217202238003,102.91091233491898
44070306,บ้านวังหิน,Ban Wang Hin,44070306,44070306,15.904926594406335,102.96220019459724
44070307,บ้านโคกก่อง,Ban Khok Kong,44070307,44070307,15.877330200933901,102.93794766068459
44070308,บ้านโคกสูง,Ban Khok Sung,44070308,44070308,13.72706875088845,100.5340875685215
44070309,บ้านหนองแต้,Ban Nong Tae,44070309,44070309,15.861800004319727,102.96926781535149
44070310,บ้านหนองแดงสหมิตร,Ban Nong Daeng Sahamit,44070310,44070310,15.902362527209448,102.9333932697773
