id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
44110101,บ้านยางสีสุราช,Ban Yang Sisurat,44110101,44110101,15.692559838208707,103.10453563928604
44110102,บ้านสนาม,Ban Sanam,44110102,44110102,15.689621233939777,103.10138940811157
44110103,บ้านหนองกอก,Ban Nong Kok,44110103,44110103,15.695560372865511,103.0950178205967
44110104,บ้านกุดตะเข้,Ban Kut Takhe,44110104,44110104,15.709403059393813,103.081925958395
44110105,บ้านแวงยาง,Ban Waeng Yang,44110105,44110105,15.68714094668787,103.08069750666618
44110106,บ้านหนองแปน,Ban Nong Paen,44110106,44110106,15.659396085726238,103.08905526995659
44110107,บ้านหนองดุม,Ban Nong Dum,44110107,44110107,15.678936804141454,103.10247033834457
44110108,บ้านหนองหน่อง,Ban Nong Nong,44110108,44110108,15.676484793846113,103.11071410775185
44110109,บ้านยางตลาด,Ban Yang Talat,44110109,44110109,15.692218982942277,103.10089454054832
44110110,บ้านโพธิ์ชัย,Ban Pho Chai,44110110,44110110,15.690290041268975,103.10447126626968
44110111,บ้านหนองวัด,Ban Nong Wat,44110111,44110111,15.677071006463944,103.11166495084763
44110112,บ้านแวงใหม่,Ban Wang Mai,44110112,44110112,15.686173871805964,103.08161079883575
44110113,บ้านศรีสวัสดิ์,Ban Si Sawat,44110113,44110113,15.67052056583821,103.11244681477547
