id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
73060701,บ้านบางช้าง,Ban Bang Chang,73060701,73060701,13.715063153712142,100.20723357796669
73060702,บ้านบางช้าง,Ban Bang Chang,73060702,73060702,13.713540099172,100.20609632134438
73060703,บ้านดอนทอง,Ban Don Thong,73060703,73060703,13.720301916845807,100.17604351043701
73060704,บ้านคลองบางช้าง,Ban Khlong Bang Chang,73060704,73060704,13.719289610875588,100.18696010112762
73060705,บ้านหัวอ่าว,Ban Hua Ao,73060705,73060705,13.702689515463092,100.19877389073372
73060706,บ้านคลองท่านา,Ban Khlong Tha Na,73060706,73060706,13.69347,100.19609
73060707,บ้านบางม่วง,Ban Bang Muang,73060707,73060707,13.699038666057158,100.2063350379467
73060708,บ้านบางม่วง,Ban Bang Muang,73060708,73060708,13.69469587948486,100.21284207701683
73060709,บ้านบางม่วง,Ban Bang Muang,73060709,73060709,13.695072439912712,100.21981582045555
73060710,บ้านบางม่วง,Ban Bang Muang,73060710,73060710,13.696192996787904,100.22664472460747
73060711,บ้านคลองบางช้าง,Ban Khlong Bang Chang,73060711,73060711,13.720075223224192,100.18354564905167
