id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
30270101,บ้านเมืองยาง,Ban Mueang Yang,30270101,30270101,15.420088813641714,102.89248153567314
30270102,บ้านลิ้นฟ้า,Ban Lin Fa,30270102,30270102,15.42445593985316,102.89070591330528
30270103,บ้านหนองไม้ตาย,Ban Nong Mai Tai,30270103,30270103,15.432852509714827,102.88682073354721
30270104,บ้านโนนไม้งาม,Ban Non Mai Ngam,30270104,30270104,15.429385329881985,102.86696568131447
30270105,บ้านนางออ,Ban Nang O,30270105,30270105,15.411047872518958,102.84952729940414
30270106,บ้านโนนตำหนัก,Ban Non Tamnak,30270106,30270106,15.394251338135314,102.88012191653252
30270107,บ้านโนนตาสุด,Ban Non Ta Sut,30270107,30270107,15.405046218370995,102.9095658659935
30270108,บ้านนางโท,Ban Nang Ko,30270108,30270108,15.369273182659825,102.91326731443405
30270109,บ้านค่ายลิง,Ban Khai Ling,30270109,30270109,15.379857293410575,102.90458232164383
30270110,บ้านโนนตาโทน,Ban Non Ta Thon,30270110,30270110,15.401466088416027,102.87335604429245
30270111,บ้านยางน้อย,Ban Yang Noi,30270111,30270111,15.417148902547265,102.89860904216766
30270112,บ้านทุ่งสว่าง,Ban Thung Sawang,30270112,30270112,15.43384145978931,102.88628429174423
