id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
30240401,บ้านโนนเพ็ด,Ban Non Phet,30240401,30240401,15.511850221109608,102.5915578007698
30240402,บ้านหนองบัว,Ban Nong Bua,30240402,30240402,15.49720845299506,102.5815249979496
30240403,บ้านแก,Ban Kae,30240403,30240403,15.51719621077936,102.54925400018692
30240404,บ้านหนองขี้เหล็ก,Ban Nong Khilek,30240404,30240404,15.506594553165208,102.56699681282043
30240405,บ้านหนองงูเหลือม,Ban Nong Ngu Lueam,30240405,30240405,15.50591222403431,102.56577372550964
30240406,บ้านดอนยาวน้อย,Ban Don Yao Noi,30240406,30240406,15.50344393126784,102.55847945809364
30240407,บ้านทุ่งรี,Ban Thung Ri,30240407,30240407,15.520894515629807,102.59217202663422
30240408,บ้านเตย,Ban Toei,30240408,30240408,15.4915272192352,102.54004195332527
30240409,บ้านหินตั้ง,Ban Hin Tang,30240409,30240409,15.485613194029265,102.57341533899307
30240410,บ้านสำโรงใต้,Ban Samrong Tai,30240410,30240410,15.510809953220415,102.54799202084541
30240411,บ้านสำโรงเหนือ,Ban Samrong Nuea,30240411,30240411,15.52313259104873,102.54313722252846
30240412,บ้านบุหวาย,Ban Bu Wai,30240412,30240412,15.520167006670603,102.58549869060516
30240413,บ้านหนองตะเข้,Ban Nong Takhe,30240413,30240413,15.495317741263506,102.55739718675613
