id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
30100801,บ้านมะค่า,Ban Makha,30100801,30100801,15.28092762788637,102.3004361987114
30100802,บ้านโนนดินทราย,Ban Non Din Sai,30100802,30100802,15.289393364523063,102.29655236005783
30100803,บ้านห้วยใหญ่,Ban Huai Yai,30100803,30100803,15.25897126564346,102.30066418647766
30100804,บ้านหนองม้า,Ban Nong Ma,30100804,30100804,15.289022090148435,102.34001755714417
30100805,บ้านดอนม่วง,Ban Don Muang,30100805,30100805,15.303150750756753,102.29074135422707
30100806,บ้านถั่วแปบ,Ban Thua Paep,30100806,30100806,15.310835607129171,102.3008680343628
30100807,บ้านพลจลก,Ban Phon Chalok,30100807,30100807,15.328148459881522,102.32280850410461
30100808,บ้านพลจลก,Ban Phon Chalok,30100808,30100808,15.330987449846852,102.32264086604118
30100809,บ้านหนองแจง,Ban Nong Chaeng,30100809,30100809,15.34612074956608,102.34477311372757
30100810,บ้านงิ้วหนองปรือ,Ban Ngio Nong Prue,30100810,30100810,15.344081225970044,102.35031589865685
30100811,บ้านหนองตะไก้,Ban Nong Takai,30100811,30100811,15.360283055238714,102.36443370580673
30100812,บ้านเดิ่นเห็ดหิน,Ban Ban Doen Het Hin,30100812,30100812,15.376197851051318,102.32456803321838
30100813,บ้านมะเกลือ,Ban Makluea,30100813,30100813,15.279966413992458,102.2913958132267
30100814,บ้านหัวบึง,Ban Hua Bueng,30100814,30100814,15.383016258557214,102.31678158044815
30100815,บ้านหนองม้าใหม่,Ban Nong Ma Mai,30100815,30100815,15.28089140456246,102.33187705278397
