id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
30200401,บ้านหนองบัว,Ban Nong Bua,30200401,30200401,14.858554144067462,101.5999411046505
30200402,บ้านลาดบัวขาว,Ban Lat Bua Khao,30200402,30200402,14.855340690570811,101.61319389939308
30200403,บ้านใหม่สำโรง,Ban Mai Samrong,30200403,30200403,14.875683545954253,101.65149584412575
30200404,บ้านหนองน้ำขุ่น,Ban Nong Nam Khun,30200404,30200404,14.884501125507716,101.67308628559113
30200405,บ้านคลองตะแบก,Ban Khlong Tabaek,30200405,30200405,14.867376312277681,101.67146220803261
30200406,บ้านน้ำเมา,Ban Nam Mao,30200406,30200406,14.860563338377856,101.65800958871841
30200407,บ้านโนนแต้,Ban Non Tae,30200407,30200407,14.880170796715731,101.65894836187363
30200408,บ้านโนนนา,Ban Non Na,30200408,30200408,14.86813329610421,101.63313880562782
30200409,บ้านโนนทอง,Ban Non Thong,30200409,30200409,14.848680302756684,101.64073348045349
30200410,บ้านดอนวัว,Ban Don Wua,30200410,30200410,14.852789597038463,101.6241829097271
30200411,บ้านโนนสว่าง,Ban Non Sawang,30200411,30200411,14.852670337863914,101.60800248384476
30200412,บ้านเลิศสวัสดิ์,Ban Loet Sawat,30200412,30200412,14.838930462641027,101.60639718174934
30200413,บ้านซับตะเคียน,Ban Sap Takhian,30200413,30200413,14.795999236787923,101.6492186486721
30200414,บ้านซับสมบูรณ์,Ban Sap Sombun,30200414,30200414,14.843109945355527,101.58323094248772
30200415,บ้านเลิศนิมิตร,Ban Loet Nimit,30200415,30200415,14.846523216060968,101.61653056740761
30200416,บ้านแผ่นดินธรรม,Ban Phaen Din Tham,30200416,30200416,14.846782482427084,101.64140671491623
30200417,บ้านอุดมทรัพย์พัฒนา,Ban Udom Sap Phatthana,30200417,30200417,14.774719114535966,101.65467023849487
