id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
30030101,บ้านเสิงสาง,Ban Soeng Sang,30030101,30030101,14.411832395595011,102.4789559841156
30030102,บ้านสระประทีป,Ban Sa Prathip,30030102,30030102,14.425409408221682,102.39020302891731
30030103,บ้านบัวหลวง,Ban Hua Luang,30030103,30030103,14.4310816,102.4611257
30030104,บ้านซับ,Ban Sap,30030104,30030104,14.4152098,102.4768853
30030105,บ้านหนองหลักศิลา,Ban Nong Lak Sila,30030105,30030105,14.390346217291365,102.39097014069557
30030106,บ้านดงเย็น,Ban Dong Yen,30030106,30030106,14.45368818833313,102.45733335614204
30030107,บ้านหนองไผ่น้อย,Ban Nong Phai Noi,30030107,30030107,14.455903688101937,102.45903387665749
30030108,บ้านรุ่งเรืองพัฒนา,Ban Rung Rueang Phatthana,30030108,30030108,14.4325356,102.4669850
30030109,บ้านหนองไผ่ใหญ่,Ban Nong Phai Yai,30030109,30030109,14.423432590528792,102.42612585425377
30030110,บ้านประชาสันต์,Ban Prachasan,30030110,30030110,14.472904900642222,102.46158733963966
30030111,บ้านบัวคำ,Ban Bua Kham,30030111,30030111,14.425224975249908,102.46573001146317
30030112,บ้านทรัพย์อุดม,Ban Sap Udom,30030112,30030112,14.4193175,102.4757212
30030113,บ้านหนองรังงาม,Ban Nong Rang Ngam,30030113,30030113,14.439342747641831,102.381501942873
30030114,บ้านไผ่สามัคคี,Ban Phai Samakkhi,30030114,30030114,14.422598737069462,102.42819115519524
30030115,บ้านรุ่งสว่างสามัคคี,Ban Rung Sawang Samakkhi,30030115,30030115,14.429777307836028,102.46636837720871
30030116,บ้านสระประทุม,Ban Sa Prathum,30030116,30030116,14.427152422145612,102.3888136446476
30030117,บ้านรุ่งอรุณ,Ban Rung Arun,30030117,30030117,14.42598608497914,102.46896207332611
