id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
80140401,บ้านขุนจันทร์,Ban Khun Chan,80140401,80140401,8.88991852327492,99.90828529000282
80140402,บ้านเสาเภา,Ban Sao Phao,80140402,80140402,8.88397985241335,99.91405874490738
80140403,บ้านปากด่าน,Ban Pak Dan,80140403,80140403,8.88927987565055,99.89589348435402
80140404,บ้านราชพฤกษ์,Ban Ratchaphruek,80140404,80140404,13.72706875088845,100.5340875685215
80140405,บ้านต้นเหรียง,Ban Ton Riang,80140405,80140405,8.919205016718145,99.90843817591667
80140406,บ้านท่าเชี่ยว,Ban Tha Chiao,80140406,80140406,8.907853201567884,99.898501932621
80140407,บ้านบางดี,Ban Bang Di,80140407,80140407,8.907682285689736,99.90896925330162
80140408,บ้านหัวแรต,Ban Hua Raet,80140408,80140408,8.861532079934461,99.90765899419785
80140409,บ้านทุ่งครั้ง,Ban Thung Khrang,80140409,80140409,8.912901146114695,99.85615521669388
80140410,บ้านถนนใน,Ban Thanon Nai,80140410,80140410,8.903054277315015,99.89769458770752
80140411,บ้านเขาคา,Ban Khao Kha,80140411,80140411,8.876594142240881,99.88297462463379
80140412,บ้านนาแล,Ban Na Lae,80140412,80140412,8.878353793899116,99.90843951702118
80140413,บ้านถนนตก,Ban Thanon Tok,80140413,80140413,8.912762030467091,99.89209279417992
80140414,บ้านต้นเหรียง,Ban Ton Riang,80140414,80140414,8.898206266434734,99.87318858504295
80140415,บ้านราชพฤกษ์,Ban Ratchaphruek,80140415,80140415,8.880744150550319,99.8997250199318
80140416,บ้านหัวเลี้ยวต้นโอน,Ban Hua Liao Ton On,80140416,80140416,8.89664280566479,99.89469587802887
