id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
96130201,บ้านเจาะเกาะ,Ban Cho Ko,96130201,96130201,6.212400709052499,101.81398138403893
96130202,บ้านบูเก๊ะ,Ban Buke,96130202,96130202,6.209499594842221,101.81532114744186
96130203,บ้านบูกิต,Ban Bukit,96130203,96130203,6.198450949735217,101.81947454810143
96130204,บ้านกูเว,Ban Kuwe,96130204,96130204,6.184138163960442,101.82342678308487
96130205,บ้านสะเตียร์,Ban Satia,96130205,96130205,6.169731657204378,101.82994052767754
96130206,บ้านบาตาปาเซ,Ban Bata Pase,96130206,96130206,6.201377456654763,101.83743193745613
96130207,บ้านบูเกะตาโมง,Ban Buke Tamong,96130207,96130207,6.21531247304556,101.84708788990974
96130208,บ้านไอร์สะเตีย,Ban Ai Satia,96130208,96130208,6.1663143043086315,101.83211177587509
96130209,บ้านบือราแง,Ban Buera-ngae,96130209,96130209,6.190411305048697,101.82265967130661
96130210,บ้านปีแนมูดอ,Ban Pi Nae Mu Do,96130210,96130210,6.200840153867892,101.84245303273201
96130211,บ้านกำปงบารู,Ban Kampong Baru,96130211,96130211,6.205370545817071,101.84278160333633
96130212,บ้านบูเกะกือจิ,Ban Buke Kuechi,96130212,96130212,6.214121904825155,101.85114741325378
96130213,บ้านไอร์กูเล็ง,Ban Ai Kuleng,96130213,96130213,6.176704962090011,101.82729721069336
96130214,บ้านดารุลอิฮซาน,Ban Darun Ihasan,96130214,96130214,6.217020327120767,101.82011291384697
