id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
43160501,บ้านโพนแพง,Ban Phon Phaeng,43160501,43160501,13.72706875088845,100.5340875685215
43160502,บ้านอาญา,Ban A Ya,43160502,43160502,18.26384106736614,103.19169402122498
43160503,บ้านผักขะ,Ban Phak Kha,43160503,43160503,18.26193583466237,103.2010817527771
43160504,บ้านดงตาล,Ban Dong Tan,43160504,43160504,18.229133518954168,103.24937894940376
43160505,บ้านหนองคอน,Ban Nong Khon,43160505,43160505,13.72706875088845,100.5340875685215
43160506,บ้านดงเย็น,Ban Dong Yen,43160506,43160506,18.249276204175207,103.20977479219437
43160507,บ้านดงสาร,Ban Dong San,43160507,43160507,18.238894364112586,103.23998585343361
43160508,บ้านเปงจาน,Ban Peng Chan,43160508,43160508,18.264383596383837,103.21372702717781
43160509,บ้านโพนสว่าง,Ban Phon Sawang,43160509,43160509,18.247243445155103,103.17663878202438
43160510,บ้านดงมดแดง,Ban Dong Mot Daeng,43160510,43160510,18.233636338897185,103.23334470391273
43160511,บ้านหนองบัวเงิน,Ban Nong Bua Ngoen,43160511,43160511,18.25418733334605,103.19300428032875
43160512,บ้านดงตาลเหนือ,Ban Dong Tan Nuea,43160512,43160512,18.22527386623801,103.24793726205826
43160513,บ้านโนนโพธิ์ทอง,Ban Non Pho Thong,43160513,43160513,18.26602645560397,103.21922823786736
