id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
43140201,บ้านคอกช้าง,Ban Khok Chang,43140201,43140201,17.667208863662143,102.75417745113373
43140202,บ้านดงแสนแผง,Ban Dong Saen Phaeng,43140202,43140202,17.670786812983376,102.7712282538414
43140203,บ้านดงลี้,Ban Dong Li,43140203,43140203,17.58153665381812,102.74709641933441
43140204,บ้านนาทราย,Ban Na Sai,43140204,43140204,17.637777531726023,102.75589540600777
43140205,บ้านเหมือดแอ่,Ban Mueat Ae,43140205,43140205,17.64751097874247,102.7255167067051
43140206,บ้านนากอ,Ban Na Ko,43140206,43140206,17.65928856416817,102.71685317158699
43140207,บ้านสมสะอาด,Ban Som Sa-at,43140207,43140207,17.611611175419238,102.73412123322487
43140208,บ้านดงมุข,Ban Dong Muk,43140208,43140208,17.611629070863714,102.7192135155201
43140209,บ้านใหม่เอราวัณ,Ban Mai Erawan,43140209,43140209,13.72706875088845,100.5340875685215
43140210,บ้านโนนเชียงคูณ,Ban Non Chiang Khun,43140210,43140210,17.649320605761467,102.73002281785011
43140211,บ้านพลายงาม,Ban Phlai Ngam,43140211,43140211,17.658065602054045,102.75623336434364
43140212,บ้านโพธิ์กลาง,Ban Pho Klang,43140212,43140212,21.625796520911713,103.42375606298447
43140213,บ้านโนนธาตุ,Ban Non That,43140213,43140213,17.65921700130575,102.71312490105629
