id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
12040401,บ้านปลายคลองบางคูรัด,Ban Plai Khlong Bang Khu Rat,12040401,12040401,13.889225225026077,100.37574604153633
12040402,บ้านหนองนกแฝก,Ban Nong Nok Faek,12040402,12040402,13.89432989050434,100.36208286881447
12040403,บ้านหนองโสน,Ban Nong Sano,12040403,12040403,13.91028498745932,100.3622330725193
12040404,บ้านหนองกระดี่,Ban Nong Kradi,12040404,12040404,13.910701554891006,100.36916390061378
12040405,บ้านหนองกระเฉด,Ban Nong Krachet,12040405,12040405,13.923716305642156,100.3485631942749
12040406,บ้านลาดกระเฉด,Ban Lat Krachet,12040406,12040406,13.910024632433622,100.33974006772041
12040407,บ้านหนองนกแฝก,Ban Nong Nok Faek,12040407,12040407,13.88167542563652,100.36115482449532
12040408,บ้านเต็มรัก,Ban Ten Rak,12040408,12040408,13.909076937665773,100.35282388329506
12040409,บ้านคลองตาชม,Ban Khlong Tachom,12040409,12040409,13.927470374436533,100.3387838602066
12040410,บ้านปลายคลองนายหลีก,Ban Plai Khlong Nai Lik,12040410,12040410,13.891809467845539,100.34850016236305
