id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
12010150,ตำบลสวนใหญ่ชุมชนศาลเจ้าตลาดขวัญ,,12010150,12010150,13.856264164247571,100.4803615808487
12010151,ตำบลสวนใหญ่ชุมชมซอยศรีพรสวรรค์1,,12010151,12010151,13.846918963979654,100.4958513379097
12010152,ตำบลสวนใหญ่ชุมชมซอยศรีพรสวรรค์2,,12010152,12010152,13.8472930,100.4953843
12010153,ตำบลสวนใหญ่ชุมชมหลังวัดทินกรนิมิต,,12010153,12010153,13.846202791287386,100.49737617373466
12010154,ตำบลสวนใหญ่ชุมชนซอยโยกย้าย,,12010154,12010154,13.841262441741497,100.49690544605255
12010155,ตำบลสวนใหญ่ชุมชนวัดบางขวาง,,12010155,12010155,13.840396502503854,100.49198895692825
12010156,ตำบลสวนใหญ่ชุมชนแสงเทียน,,12010156,12010156,13.83788200502968,100.49334347248077
12010157,ตำบลสวนใหญ่ชุมชนวัดนครอินทร์,,12010157,12010157,13.833914226386462,100.49757063388824
12010158,ตำบลสวนใหญ่ชุมชนซอยบ่อนไก่-สามหลวงหมู่ที่7,,12010158,12010158,13.829866944329416,100.49942672252655
12010159,ตำบลสวนใหญ่ชุมชนกลาโหม-คลองบุนนาค,,12010159,12010159,13.822509253256287,100.50230339169502
12010160,ตำบลสวนใหญ่ชุมชนซอยพร้อมใจ,,12010160,12010160,13.823734683075845,100.50463154911995
12010161,ตำบลสวนใหญ่ชุมชนวัดพลับพลา-วัดเขมาฯ,,12010161,12010161,13.82027976184992,100.50390467047691
12010162,ตำบลสวนใหญ่ชุมชนหมู่9ซอยพิบูลสงคราม1,,12010162,12010162,13.819767965541976,100.50577282905579
