id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
12010550,ตำบลท่าทรายชุมชนประชานิเวศน์3ส่วน1เหนือ,,12010550,12010550,13.877887,100.528100
12010551,ตำบลท่าทรายชุมชนสรรพาวุธ,,12010551,12010551,13.880187,100.530511
12010552,ตำบลท่าทรายชุมชนประชานิเวศน์3ส่วน1กลาง,,12010552,12010552,13.873361,100.529863
12010553,ตำบลท่าทรายชุมชนประชานิเวศน์3ส่วน1ใต้,,12010553,12010553,13.869637,100.531394
12010554,ตำบลท่าทรายชุมชนประชานิเวศน์3ส่วน2เหนือ,,12010554,12010554,13.874022,100.531998
12010555,ตำบลท่าทรายชุมชนประชานิเวศน์3ส่วน2ใต้,,12010555,12010555,13.872214,100.533627
12010556,ตำบลท่าทรายชุมชนภัทรนิเวศน์,,12010556,12010556,13.882853,100.527382
12010557,ตำบลท่าทรายชุมชนหมู่บ้านเื้อื้อาทรประชานิเวศน์โซน1,,12010557,12010557,13.877012,100.535720
12010558,ตำบลท่าทรายชุมชนหมู่้บ้านเอื้ออาทรประชานิเวศน์โซน2,,12010558,12010558,13.877012,100.535720
12010559,ตำบลท่าทรายชุมชนประชานิเวศน์2,,12010559,12010559,13.875721,100.542474
12010560,ตำบลท่าทรายชุมชนซอยสามัคคี1,,12010560,12010560,13.884538,100.523263
12010561,ตำบลท่าทรายชุมชนซอยสามัคคี2,,12010561,12010561,13.889171,100.511248
12010562,ตำบลท่าทรายชุมชนซอยเปรมฤทัย,,12010562,12010562,13.885654,100.504465
12010563,ตำบลท่าทรายชุมชนทรายทอง,,12010563,12010563,13.887673,100.506236
12010564,ตำบลท่าทรายชุมชนหมู่3ตำบลท่าทราย,,12010564,12010564,13.889810,100.490629
12010565,ตำบลท่าทรายชุมชนบ้านพักกรมชลประทาน,,12010565,12010565,13.894226,100.508080
12010566,ตำบลท่าทรายชุมชนวัดตำหนักใต้,,12010566,12010566,13.884885,100.490274
12010567,ตำบลท่าทรายชุมชนหมู่บ้านอัญชลี1,,12010567,12010567,13.877657,100.496827
12010568,ตำบลท่าทรายชุมชนหมู่บ้านอัญชลี2,,12010568,12010568,13.874948,100.499467
12010569,ตำบลท่าทรายชุมชนบ้านดอน,,12010569,12010569,13.883077,100.491338
12010570,ตำบลท่าทรายชุมชนซอยกาหลง,,12010570,12010570,13.874343,100.511813
12010571,ตำบลท่าทรายชุมชนไทยานนท์-พงษ์สวัสดิ์,,12010571,12010571,13.877256,100.509083
12010572,ตำบลท่าทรายชุมชนทานสัมฤทธิ์เหนือ,,12010572,12010572,13.877392,100.520828
12010573,ตำบลท่าทรายชุมชนทานสัมฤทธิ์ใต้,,12010573,12010573,13.872438,100.522997
12010574,ตำบลท่าทรายชุมชนติวานนท์พัฒนา,,12010574,12010574,13.885691,100.509283
12010575,ตำบลท่าทรายชุมชนไทยานนท์-รณสิทธิ์พิชัย,,12010575,12010575,13.877986,100.508530
