id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
93011301,บ้านคอกวัว,Ban Khok Wua,93011301,93011301,7.689187888726933,100.06305813789368
93011302,บ้านอ้ายใหญ่,Ban Ai Yai,93011302,93011302,7.68481796324388,100.11582255363464
93011303,บ้านมะกอกใต้,Ban Makok Tai,93011303,93011303,7.715514141829139,100.08969783782959
93011304,บ้านท่าสำเภาใต้,Ban Tha Samphao Tai,93011304,93011304,7.711163093501129,100.11085510253906
93011305,บ้านใหม่,Ban Mai,93011305,93011305,7.69679660839129,100.11333346366882
93011306,บ้านมะกอกใต้,Ban Makok Tai,93011306,93011306,7.7090393829242245,100.07388487458229
93011307,บ้านท่าสำเภาเหนือ,Ban Tha Samphao Nuea,93011307,93011307,7.7188391950129045,100.10957032442093
93011308,บ้านพรหมคต,Ban Phrom Khot,93011308,93011308,7.708590186205295,100.08344426751137
93011309,บ้านชายเขา,Ban Chai Khao,93011309,93011309,7.698754253395251,100.10932758450508
93011310,บ้านปากสระ,Ban Pak Sa,93011310,93011310,7.677109347599538,100.08305534720421
93011311,บ้านโคกฉิ่ง,Ban Khok Ching,93011311,93011311,7.665578060916389,100.06985887885094
93011312,บ้านท่าข่อย,Ban Tha Khoi,93011312,93011312,7.696203864129141,100.06296426057816
93011313,บ้านออกวัด,Ban Ok Wat,93011313,93011313,7.688758606677363,100.0620174407959
