id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
93011401,บ้านเกาะจูด,Ban Ko Chut,93011401,93011401,7.503233896989422,100.0638373196125
93011402,บ้านโคกทราย,Ban Khok Sai,93011402,93011402,7.492679235206992,100.05170166492462
93011403,บ้านหัวหมอน,Ban Hua Mon,93011403,93011403,7.495666956437452,100.04244402050972
93011404,บ้านตรอกปด,Ban Trok Pot,93011404,93011404,7.495690890036127,100.02762347459793
93011405,บ้านเกาะทัง,Ban Ko Thang,93011405,93011405,7.468060005262336,100.02222016453743
93011406,บ้านศาลาน้ำตก,Ban Sala Nam Tok,93011406,93011406,7.50737298837072,100.06267324090004
93011407,บ้านโคกว่าว,Ban Khok Wao,93011407,93011407,7.44654845770343,100.0279426574707
93011408,บ้านวังปริง,Ban Wang Pring,93011408,93011408,7.482743950803603,100.02431228756905
93011409,บ้านบ่วงช้าง,Ban Buang Chang,93011409,93011409,7.45770661622048,100.0291121006012
93011410,บ้านเกาะโจด,Ban Ko Chot,93011410,93011410,7.492243108631533,100.05849838256836
93011411,บ้านต้นไทร,Ban Ton Sai,93011411,93011411,7.4850442977680975,100.03227040171623
