id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
56070201,บ้านต้นแก,Ban Ton Kae,56070201,56070201,19.349471584994486,99.8042343556881
56070202,บ้านต้นตะเคียน,Ban Ton Takhian,56070202,56070202,19.35352825471944,99.80458840727806
56070203,บ้านสันขวาง,Ban San Khwang,56070203,56070203,19.36344933531244,99.81019422411919
56070204,บ้านแม่ใจหางบ้าน,Ban Mae Chai Hang Ban,56070204,56070204,19.349748696959747,99.81045305728912
56070205,บ้านป่าสัก,Ban Pa Sak,56070205,56070205,19.357531681391055,99.78800296783447
56070206,บ้านทุ่งป่าข่า,Ban Thung Pa Kha,56070206,56070206,19.3571154004521,99.77800637483597
56070207,บ้านขัวตาด,Ban Khua Tat,56070207,56070207,19.353988830931485,99.80152666568756
56070208,บ้านท่าต้นหาด,Ban Tha Ton Hat,56070208,56070208,19.35713817572852,99.77043315768242
56070209,บ้านสันติสุข,Ban Santi Suk,56070209,56070209,19.372364001287693,99.79289799928665
56070210,บ้านผาแดง,Ban Pha Daeng,56070210,56070210,19.382256103319865,99.70183968544006
56070211,บ้านต้นผึ้ง,Ban Ton Phueng,56070211,56070211,19.3528272653515,99.80550438165665
56070212,บ้านป่าสักสามัคคี,Ban Pa Sak Samakkhi,56070212,56070212,19.353497887011414,99.79072138667107
56070213,บ้านปางปูเลาะ,Ban Pang Pu Lo,56070213,56070213,19.352138926290035,99.71342012286186
