id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
67020201,บ้านบุ่งคล้า,Ban Bung Khla,67020201,67020201,16.06275990552602,100.6538736820221
67020202,บ้านดงขุย,Ban Dong Khui,67020202,67020202,16.119794227830397,100.7280421257019
67020203,บ้านสว่างเนตร,Ban Sawang Net,67020203,67020203,16.117714776943096,100.72229281067848
67020204,บ้านดงขุยเหนือ,Ban Dong Khui Nuea,67020204,67020204,16.115246205942604,100.73080614209175
67020205,บ้านดงขุยใต้,Ban Dong Khui Tai,67020205,67020205,16.10371076941506,100.71242898702621
67020206,บ้านหนองระมาน,Ban Nong Raman,67020206,67020206,16.090633543347376,100.66643178462982
67020207,บ้านดงเสือเหลือง,Ban Dong Suea Lueang,67020207,67020207,16.167847424878772,100.68460375070572
67020208,บ้าน ก.ม. ๒๘,Ban km 28,67020208,67020208,16.135768166650198,100.67415118217468
67020209,บ้านทุ่งโตนด,Ban Thung Tanot,67020209,67020209,16.087281954815904,100.68383261561394
67020210,บ้านโป่งปู,Ban Pong Pu,67020210,67020210,16.048900240922915,100.6389793753624
67020211,บ้านม่วงเจริญ,Ban Muang Charoen,67020211,67020211,16.147885290105997,100.66626012325287
67020212,บ้านดงสว่าง,Ban Dong Sawang,67020212,67020212,16.103529093487648,100.71286350488663
67020213,บ้านวังศาลา,Ban Wang Sala,67020213,67020213,16.085976611111036,100.67899256944656
67020214,บ้านวารีวงษ์,Ban Wari Wong,67020214,67020214,16.11414332712992,100.73987066745758
67020215,บ้านดงขุยกลาง,Ban Dong Khui Klang,67020215,67020215,16.1093838708879,100.71895346045494
67020216,บ้านคลองปอ,Ban Khlong Po,67020216,67020216,16.12915277518763,100.72987139225006
67020217,บ้านโคกตายอ,Ban Khok Tayo,67020217,67020217,16.109360678888674,100.68605616688728
