id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
670319,บ้านกลาง,Ban Klang,ban-klang,670319,19,67110,16.642,101.298
670321,บ้านไร่,Ban Rai,ban-rai,670321,6,67110,16.608,101.212
670309,บ้านโสก,Ban Sok,ban-sok,670309,7,67110,16.803,101.284
670310,บ้านติ้ว,Ban Tio,ban-tio,670310,12,67110,16.782,101.357
670323,บ้านหวาย,Ban Wai,ban-wai,670323,7,67110,16.759,101.293
670317,บุ่งคล้า,Bung Khla,bung-khla,670317,14,67110,16.629,101.178
670318,บุ่งน้ำเต้า,Bung Namtao,bung-namtao,670318,12,67110,16.677,101.146
670320,ช้างตะลูด,Chang Talut,chang-talut,670320,13,67110,16.581,101.324
670304,ฝายนาแซง,Fai Na Saeng,fai-na-saeng,670304,6,67110,16.811,101.206
670311,ห้วยไร่,Huai Rai,huai-rai,670311,13,67110,16.825,101.319
670316,ลานบ่า,Lan Ba,lan-ba,670316,18,67110,16.680,101.208
670314,น้ำชุน,Nam Chun,nam-chun,670314,17,67110,16.739,101.143
670306,น้ำเฮี้ย,Nam Hia,nam-hia,670306,5,67110,16.830,101.206
670312,น้ำก้อ,Nam Ko,nam-ko,670312,13,67110,16.794,101.158
670315,หนองไขว่,Nong Khwai,nong-khwai,670315,15,67110,16.757,101.220
670305,หนองสว่าง,Nong Sawang,nong-sawang,670305,4,67110,16.839,101.239
670313,ปากช่อง,Pak Chong,pak-chong,670313,17,67110,16.708,101.304
670322,ปากดุก,Pak Duk,pak-duk,670322,7,67110,16.720,101.249
670307,สักหลง,Sak Long,sak-long,670307,11,67110,16.844,101.275
670303,ตาลเดี่ยว,Tan Diao,tan-diao,670303,11,67110,16.785,101.248
670308,ท่าอิบุญ,Tha Ibun,tha-ibun,670308,12,67110,16.889,101.346
670302,วัดป่า,Wat Pa,wat-pa,670302,12,67110,16.795,101.234
