id,name.local,name.en,name.slug,code.id,zip_codes,geo.lat,geo.lon
760106,บ้านกุ่ม,Ban Kum,ban-kum-760106,760106,76000,13.156,99.941
760111,บ้านหม้อ,Ban Mo,ban-mo-760111,760111,76000,13.092,99.932
760110,บางจาก,Bang Chak,bang-chak-760110,760110,76000,13.158,99.891
760103,บางจาน,Bang Chan,bang-chan-760103,760103,76000,13.13,100.015
760113,ช่องสะแก,Chong Sakae,chong-sakae-760113,760113,76000,13.105,99.997
760122,ดอนยาง,Don Yang,don-yang-760122,760122,76000,13.015,99.976
760117,หาดเจ้าสำราญ,Hat Chao Samran,hat-chao-samran-760117,760117,76100,13.007,100.044
760118,หัวสะพาน,Hua Saphan,hua-saphan-760118,760118,76000,13.117,99.866
760102,คลองกระแซง,Khlong Krachaeng,khlong-krachaeng-760102,760102,76000,13.112,99.943
760104,นาพันสาม,Na Phan Sam,na-phan-sam-760104,760104,76000,13.054,100.03
760114,นาวุ้ง,Na Wung,na-wung-760114,760114,76000,13.088,99.977
760123,หนองขนาน,Nong Khanan,nong-khanan-760123,760123,76000,12.995,100.013
760124,หนองพลับ,Nong Phlap,nong-phlap-760124,760124,76000,13.048,100
760107,หนองโสน,Nong Sano,nong-sano-760107,760107,76000,13.134,99.973
760116,โพพระ,Pho Phra,pho-phra-760116,760116,76000,13.082,100.039
760121,โพไร่หวาน,Pho Rai Wan,pho-rai-wan-760121,760121,76000,13.053,99.974
760108,ไร่ส้ม,Rai Som,rai-som-760108,760108,76000,13.112,99.916
760115,สำมะโรง,Sam Marong,sam-marong-760115,760115,76000,13.07,99.992
760101,ท่าราบ,Tha Rap,tha-rap-760101,760101,76000,13.097,99.949
760105,ธงชัย,Thong Chai,thong-chai-760105,760105,76000,13.151,99.918
760112,ต้นมะม่วง,Ton Mamuang,ton-mamuang-760112,760112,76000,13.079,99.958
760119,ต้นมะพร้าว,Ton Maphrao,ton-maphrao-760119,760119,76000,13.146,99.86
760120,วังตะโก,Wang Tako,wang-tako-760120,760120,76000,13.134,99.893
760109,เวียงคอย,Wiang Khoi,wiang-khoi-760109,760109,76000,13.121,99.9
