id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
76080101,บ้านแก่งกระจาน,Ban Kaeng Krachan,76080101,76080101,12.887398165129847,99.63168784976006
76080102,บ้านหนองหงษ์,Ban Nong Hong,76080102,76080102,12.89891279646403,99.7055572271347
76080103,บ้านถ้ำเสือ,Ban Tham Suea,76080103,76080103,12.86698218598366,99.71089214086533
76080104,บ้านลำตะเคียน,Ban Lam Takhian,76080104,76080104,12.982090496550844,99.63995575904846
76080105,บ้านแม่คะเมย,Ban Mae Kha Moei,76080105,76080105,13.003422213416515,99.58687081933022
76080106,บ้านวังนางนวล,Ban Wang Nang Muan,76080106,76080106,12.89608647938219,99.65000197291374
76080107,บ้านหนองเกด,Ban Nong Ket,76080107,76080107,12.936370898227555,99.68304142355919
76080108,บ้านท่าเรือ,Ban Tha Ruea,76080108,76080108,12.889336916819449,99.63285192847252
76080109,บ้านน้ำทรัพย์,Ban Nam Sap,76080109,76080109,13.003133429440252,99.61326509714127
76080110,บ้านพุเข็ม,Ban Phu Khem,76080110,76080110,12.921035925099627,99.5701901614666
76080111,บ้านเขากลิ้ง,Ban Khao Kling,76080111,76080111,12.921634597533513,99.70702841877937
76080112,บ้านเขาพระลาย,Ban Khao Phra Lai,76080112,76080112,12.888091045070338,99.71519038081169
76080113,บ้านต้นเกตุ,Ban Ton Ket,76080113,76080113,12.909149758137755,99.6563172340393
76080114,บ้านพุบอน,Ban Phu Bon,76080114,76080114,12.977916458231327,99.58672598004341
