id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
76050501,บ้านมาบปลาเค้า,Ban Map Pla Khao,76050501,76050501,12.96882454863496,99.94641691446304
76050502,บ้านมาบปลาเค้า,Ban Map Pla Khao,76050502,76050502,12.969147351747994,99.9450771510601
76050503,บ้านมาบปลาเค้า,Ban Map Pla Khao,76050503,76050503,12.969186558575291,99.94345977902412
76050504,บ้านใหม่,Ban Mai,76050504,76050504,12.96404779775028,99.93810206651688
76050505,บ้านตาลกง,Ban Tan Kong,76050505,76050505,12.994861781936804,99.94024381041527
76050506,บ้านตาลกง,Ban Tan Kong,76050506,76050506,12.989392934733807,99.93764877319336
76050507,บ้านหนองหินถ่วง,Ban Nong Hin Thuang,76050507,76050507,12.983931808017134,99.9231769144535
76050508,บ้านนาขึงหนัง,Ban Na Chueng Nang,76050508,76050508,12.984092546411766,99.92658734321594
76050509,บ้านตาลกงพัฒนา,Ban Tan Kong Phatthana,76050509,76050509,12.989758835080053,99.93964567780495
76050510,บ้านหัวเขาสามัคคี,Ban Hua Khao Samakkhi,76050510,76050510,12.994018920864004,99.91905972361565
76050511,บ้านตาลกงสามัคคี,Ban Tan Kong Samakkhi,76050511,76050511,12.99206007454426,99.93614539504051
