id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
14011101,บ้านปากคลองวัดแจ้ง,Ban Pak Khlong Wat Chaeng,14011101,14011101,14.32672769426502,100.5682535469532
14011102,บ้านเหนือสะพานยาว,Ban Nuea Saphan Yao,14011102,14011102,14.324986495930974,100.57061523199081
14011103,บ้านปากคลองคูจาม,Ban Pak Khlong Khucham,14011103,14011103,14.323566239821218,100.5700533092022
14011104,บ้านปากคลองเทศ,Ban Pak Khlong Thet,14011104,14011104,14.3236338093915,100.5677305161953
14011105,บ้านต้นโพธิ์,Ban Ton Pho,14011105,14011105,14.324807177723136,100.56651279330254
14011106,บ้านใต้วัดโคก,Ban Tai Wat Khok,14011106,14011106,14.324717518565484,100.56651279330254
14011107,บ้านท่ากระเบา,Ban Tha Krabao,14011107,14011107,14.323702678355657,100.56149438023567
14011108,บ้านหน้าวัดโคก,Ban Na Wat Khok,14011108,14011108,14.323846913287566,100.56361064314842
14011109,บ้านเหนือกลาง,Ban Nuea Klang,14011109,14011109,14.321819819253792,100.56608766317368
14011110,บ้านหนองบัว,Ban Nong Bua,14011110,14011110,14.322485123929683,100.56740865111351
14011111,บ้านปากคลองตะเคียน,Ban Pak Khlong Takhian,14011111,14011111,14.322520208301208,100.5680724978447
14011112,บ้านจอมแห,Ban Chom Hae,14011112,14011112,14.32083095455802,100.56874841451645
14011113,บ้านตะเกี่ย,Ban Takia,14011113,14011113,14.318433491841967,100.56734964251518
