id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
14110101,บ้านคลองหก,Ban Khlong Hok,14110101,14110101,14.280061511038296,100.73130369186401
14110102,บ้านหันตะเภา,Ban Han Taphao,14110102,14110102,14.224054521098713,100.70018067955971
14110103,บ้านคลองหก,Ban Khlong Hok,14110103,14110103,14.239623956466291,100.73061034083366
14110104,บ้านสี่แยกคลอง26,Ban Si Yaek Khlong 26,14110104,14110104,14.229680804741657,100.71875363588333
14110105,บ้านคลองตาสิ้ว,Ban Khlong Ta Siao,14110105,14110105,14.242085953080034,100.7111831009388
14110106,บ้านบ่อตาโล่,Ban Bo Ta Lo,14110106,14110106,14.262747987286653,100.69319888949394
14110107,บ้านสร้าง,Ban Sang,14110107,14110107,14.26541769178423,100.68931773304939
14110108,บ้านสร้าง,Ban Sang,14110108,14110108,14.27833034852475,100.68454205989838
14110109,บ้านวังคุ้งแมว,Ban Wang Khung Maeo,14110109,14110109,14.292556158469809,100.68324118852615
14110110,บ้านลำตาเสา,Ban Lam Ta Sao,14110110,14110110,14.305428272420132,100.68560287356377
14110111,บ้านกระทุ่มลาย,Ban Krathum Lai,14110111,14110111,14.277820874739223,100.696270018816
14110112,บ้านไดนกยาง,Ban Dai Nok Yang,14110112,14110112,14.267978186831924,100.68925872445107
14110113,บ้านคูคต,Ban Khu Khot,14110113,14110113,14.285666903109306,100.73021471500397
