id,name.th,name.en,name.slug,code.dopa,children_count.villages,zip_codes,geo.lat,geo.lon
540111,บ้านถิ่น,Ban Thin,ban-thin,540111,11,54000,18.154,100.224
540118,ช่อแฮ,Cho Hae,cho-hae,540118,12,54000,17.954,100.323
540109,ห้วยม้า,Huai Ma,huai-ma,540109,14,54000,18.228,100.237
540120,กาญจนา,Kanchana,kanchana,540120,9,54000,18.123,100.184
540114,แม่คำมี,Mae Kham Mi,mae-kham-mi,540114,12,54000,18.247,100.217
540108,แม่หล่าย,Mae Lai,mae-lai,540108,8,54000,18.215,100.204
540117,แม่ยม,Mae Yom,mae-yom,540117,4,54000,18.187,100.157
540106,เหมืองหม้อ,Mueang Mo,mueang-mo,540106,12,54000,18.163,100.210
540102,นาจักร,Na Chak,na-chak,540102,9,54000,18.113,100.164
540101,ในเวียง,Nai Wiang,nai-wiang,540101,18,54000,18.140,100.142
540103,นาชำ,Nam Cham,nam-cham,540103,4,54130,18.186,100.255
540104,ป่าแดง,Pa Daeng,pa-daeng,540104,10,54000,18.063,100.316
540110,ป่าแมต,Pa Maet,pa-maet,540110,15,54000,18.158,100.092
540119,ร่องฟอง,Rong Fong,rong-fong,540119,5,54000,18.167,100.193
540112,สวนเขื่อน,Suan Khuean,suan-khuean,540112,10,54000,18.128,100.306
540116,ท่าข้าม,Tha Kham,tha-kham,540116,5,54000,18.229,100.126
540105,ทุ่งโฮ้ง,Thung Hong,thung-hong,540105,7,54000,18.188,100.196
540115,ทุ่งกวาว,Thung Kwao,thung-kwao,540115,6,54000,18.165,100.154
540113,วังหงษ์,Wang Hong,wang-hong,540113,7,54000,18.246,100.139
540107,วังธง,Wang Thong,wang-thong,540107,6,54000,18.209,100.110
