id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
70011301,บ้านดอนแร่,Ban Don Rae,70011301,70011301,13.479139756322743,99.76575538516045
70011302,บ้านนาหนอง,Ban Na Nong,70011302,70011302,13.492430117774239,99.76382687687874
70011303,บ้านหนองขาม,Ban Nong Kham,70011303,70011303,13.508648546970495,99.75694835186005
70011304,บ้านดอนซาด,Ban Don Chat,70011304,70011304,13.486621625671516,99.75131168961525
70011305,บ้านดอนตัน-ดอนขาม,Ban Don Tan - Don Kham,70011305,70011305,13.487379319787388,99.75342124700546
70011306,บ้านดอนกอก,Ban Don Kok,70011306,70011306,13.484026407304828,99.75547850131989
70011307,บ้านหนองสระ,Ban Nong Sa,70011307,70011307,13.467383736812003,99.74690616130829
70011308,บ้านหนองโปร่ง,Ban Nong Prong,70011308,70011308,13.475340697625152,99.75428760051727
70011309,บ้านหนองมะตูม,Ban Nong Matum,70011309,70011309,13.461542029669415,99.7576068341732
70011310,บ้านห้วย,Ban Huai,70011310,70011310,13.474213879730312,99.75893318653107
