id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
21030201,บ้านศาลาอกแตก,Ban Sala Ok Taek,21030201,21030201,12.763192754569586,101.63922876119614
21030202,บ้านวังหว้า,Ban Wang Wa,21030202,21030202,12.744616314136012,101.64090514183044
21030203,บ้านหนองน้ำขุ่น,Ban Nong Nam Khun,21030203,21030203,12.770493725419229,101.62884458899498
21030204,บ้านเจริญสุข,Ban Charoen Suk,21030204,21030204,12.790980310829708,101.61551132798195
21030205,บ้านวังหิน,Ban Wang Hin,21030205,21030205,12.758036692971267,101.60977005958557
21030206,บ้านเขาดิน,Ban Khao Din,21030206,21030206,12.815696972331795,101.54433086514473
21030207,บ้านชากตะไคร้,Ban Chak Takhrai,21030207,21030207,12.791791160377233,101.59186631441116
21030208,บ้านเนินหย่อง,Ban Noen Yong,21030208,21030208,12.782610098766945,101.56485244631767
21030209,บ้านหนองกวาง,Ban Nong Kwang,21030209,21030209,12.82189275855414,101.56529635190964
21030210,บ้านเขาหินแท่น,Ban Khao Hin Thaen,21030210,21030210,12.830242051955956,101.51899203658104
21030211,บ้านหนองรี,Ban Nong Ri,21030211,21030211,12.778368649456535,101.60811513662338
21030212,บ้านหนองหอย,Ban Nong Hoi,21030212,21030212,12.769228953914183,101.60777047276497
21030213,บ้านวังศิลา,Ban Wang Sila,21030213,21030213,12.753696730161865,101.61435261368752
21030214,บ้านเนินโพธิ์ทอง,Ban Noen Pho Thong,21030214,21030214,12.796494036370467,101.58384516835213
