id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
45010601,บ้านดอนทอง,Ban Don Thong,45010601,45010601,16.000038331707664,103.60869437456131
45010602,บ้านกาหลง,Ban Kalong,45010602,45010602,15.98987310852857,103.58836859464645
45010603,บ้านแมต,Ban Maet,45010603,45010603,15.980992779785435,103.60389187932014
45010604,บ้านแมต,Ban Maet,45010604,45010604,15.976068978159656,103.6045691370964
45010605,บ้านแมต,Ban Maet,45010605,45010605,15.978539274507717,103.60453560948372
45010606,บ้านสะอาดสมบูรณ์,Ban Sa-at Sombun,45010606,45010606,13.72706875088845,100.5340875685215
45010607,บ้านสงยาง,Ban Song Yang,45010607,45010607,15.939177227462434,103.62015813589096
45010608,บ้านสังข์,Ban Sang,45010608,45010608,15.932316735669026,103.6127270758152
45010609,บ้านดงเค็ง,Ban Dong Kheng,45010609,45010609,15.928355081717113,103.62957939505577
45010610,บ้านขี้เหล็ก,Ban Khilek,45010610,45010610,15.907112732516357,103.63423436880112
45010611,บ้านป่าเพิ่ม,Ban Pa Phoem,45010611,45010611,15.917979872110513,103.63896042108536
45010612,บ้านดอนศรีวิไล,Ban Don Si Wilai,45010612,45010612,16.004097830574057,103.60420435667038
45010613,บ้านหนองผือ,Ban Nong Phue,45010613,45010613,15.937318985836567,103.61818939447403
45010614,บ้านหนองแข้,Ban Nong Khae,45010614,45010614,14.121616913481159,100.96049442887306
45010615,บ้านสังข์,Ban Sang,45010615,45010615,15.937277720039537,103.61714735627174
45010616,บ้านสงยาง,Ban Song Yang,45010616,45010616,15.936692260629878,103.61943528056145
