id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
45110401,บ้านหินกอง,Ban Hin Kong,45110401,45110401,15.60225204983155,103.72683092951775
45110402,บ้านเล้าข้าว,Ban Lao Khao,45110402,45110402,15.594553448027776,103.70231419801712
45110403,บ้านสองชั้น,Ban Song Chan,45110403,45110403,15.63298286705407,103.72050628066063
45110404,บ้านตังหมอง,Ban Tang Nong,45110404,45110404,15.567329600930945,103.7318117916584
45110405,บ้านโพนพะอุง,Ban Phon Pha-ung,45110405,45110405,15.617215,103.694783
45110406,บ้านคัดเค้า,Ban Khat Khao,45110406,45110406,15.587802725040145,103.7590965628624
45110407,บ้านส้มโฮง,Ban Som Hong,45110407,45110407,15.654247499757815,103.71744856238365
45110408,บ้านโพนดวน,Ban Phon Duan,45110408,45110408,15.679401636895415,103.6974848806858
45110409,บ้านหนองสระ,Ban Nong Sa,45110409,45110409,15.627384164748872,103.70607599616051
45110410,บ้านหนองอีเข็ม,Ban Nong I Khem,45110410,45110410,15.56984622055227,103.71163621544838
45110411,บ้านสำโรงเหนือ,Ban Samrong Nuea,45110411,45110411,15.672790582656047,103.70851278305054
45110412,บ้านโพนละมั่ง,Ban Phon Lamang,45110412,45110412,15.662329959829615,103.68344753980637
45110413,บ้านสองชั้น,Ban Song Chan,45110413,45110413,15.63369318743083,103.7234003841877
45110414,บ้านหินกอง,Ban Hin Kong,45110414,45110414,15.602503928736173,103.73095616698265
45110415,บ้านโพนพะอุง,Ban Phon Pha-ung,45110415,45110415,15.616575072233731,103.6914311349392
45110416,บ้านส้มโฮง,Ban Som Hong,45110416,45110416,15.658436627442224,103.7167900800705
