id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
45200301,บ้านนาแพง,Ban Na Phaeng,45200301,45200301,16.017714403769027,103.90412896871567
45200302,บ้านท่าค้อ,Ban Tha Kho,45200302,45200302,16.003400412216738,103.90678033232689
45200303,บ้านมะบ้า,Ban Maba,45200303,45200303,15.99460319234909,103.9105099439621
45200304,บ้านนางาม,Ban Na Ngam,45200304,45200304,15.995438583913135,103.92808645963669
45200305,บ้านวังทอง,Ban Wang Thong,45200305,45200305,15.981884956063077,103.92462104558945
45200306,บ้านดอนแก้ว,Ban Don Kaeo,45200306,45200306,15.963562312710444,103.91428515315056
45200307,บ้านมะแว,Ban Ma Wae,45200307,45200307,15.980671750064745,103.90897035598755
45200308,บ้านโนนราษี,Ban Non Rasi,45200308,45200308,15.966484042838932,103.89109343290329
45200309,บ้านดอนโมง,Ban Don Mong,45200309,45200309,15.981000515435001,103.87527242302895
45200310,บ้านดอนแก้ว,Ban Don Kaeo,45200310,45200310,15.995269701023581,103.89765813946724
45200311,บ้านค้อชา,Ban Kho Cha,45200311,45200311,16.002447742540923,103.89372870326042
45200312,บ้านโนนยาง,Ban Non Yang,45200312,45200312,15.971595033984363,103.88313263654709
45200313,บ้านหนองไชยวาน,Ban Nong Chai Wan,45200313,45200313,15.976459637701778,103.92747357487679
