id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
27030601,บ้านหนองติม,Ban Nong Tin,27030601,27030601,14.08445121449968,102.73614630103111
27030602,บ้านตะลุมพุก,Ban Talumphuk,27030602,27030602,14.075759181391653,102.73686647415161
27030603,บ้านหนองปรือ,Ban Nong Prue,27030603,27030603,14.075433971699882,102.73167908191681
27030604,บ้านเหนือ,Ban Nuea,27030604,27030604,14.03720820506809,102.74524971842766
27030605,บ้านใหม่ไทยถาวร,Ban Mai Thai Thawon,27030605,27030605,14.094529500158465,102.69440442323685
27030606,บ้านเจริญสุข,Ban Charoen Suk,27030606,27030606,14.040749654863246,102.7144606411457
27030607,บ้านโคกไพล,Ban Khok Phlai,27030607,27030607,14.031590172076704,102.70000889897346
27030608,บ้านโคกกราด,Ban Khok Krat,27030608,27030608,14.03399717389082,102.68421068787575
27030609,บ้านหนองผักแว่น,Ban Nong Phak Waen,27030609,27030609,14.040622153212123,102.58146062493324
27030610,บ้านทดวงค์สมบูรณ์,Ban Thaduang Sombun,27030610,27030610,14.006795282226538,102.58795291185379
27030611,บ้านเนินขาม,Ban Noen Kham,27030611,27030611,14.040622153212123,102.58146062493324
27030612,บ้านคลองยาง,Ban Khlong Yang,27030612,27030612,14.041154276980105,102.57715031504631
27030613,บ้านทุ่งทะเล,Ban Thung Thale,27030613,27030613,14.075466492689893,102.73172065615654
27030614,บ้านไพลงาม,Ban Phlai Ngam,27030614,27030614,14.031473074046522,102.69382104277611
27030615,บ้านเขาวงค์,Ban Khao Wong,27030615,27030615,14.039892269945605,102.58302569389343
27030616,บ้านหนองกก,Ban Nong Kok,27030616,27030616,14.075847638347762,102.73694962263107
27030617,บ้านไพรอนันต์,Ban Phrai Anan,27030617,27030617,14.006518120179209,102.59085640311241
