id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
47020201,บ้านนาโพธิ์,Ban Na Pho,47020201,47020201,17.33247312676831,104.29061785340309
47020202,บ้านโคกม่วง,Ban Khok Muang,47020202,47020202,17.36745530938375,104.29935649037361
47020203,บ้านบอน,Ban Bon,47020203,47020203,17.34772488845912,104.28351268172264
47020204,บ้านโคกสว่าง,Ban Khok Sawang,47020204,47020204,17.377530905687987,104.30696859955788
47020205,บ้านม่วง,Ban Muang,47020205,47020205,17.336385400039642,104.28065344691277
47020206,บ้านขาไก่,Ban Kha Kai,47020206,47020206,17.363200660983544,104.29218426346779
47020207,บ้านนาโพธิ์น้อย,Ban Na Pho Noi,47020207,47020207,17.321404116740425,104.28960397839546
47020208,บ้านเมืองเก่า,Ban Mueang Kao,47020208,47020208,17.34364259974711,104.30496901273727
47020209,บ้านหนองผือน้อย,Ban Nong Phue Noi,47020209,47020209,17.275788308426918,104.28075134754181
47020210,บ้านม่วง,Ban Muang,47020210,47020210,17.3391492889081,104.28056225180626
47020211,บ้านนาโพธิ์,Ban Na Pho,47020211,47020211,17.32416567059424,104.29954290390015
47020212,บ้านโคกสว่าง,Ban Khok Sawang,47020212,47020212,17.376240768816025,104.30539146065712
