id,name.th,name.en,name.slug,code.dopa,geo.lat,geo.lon
19030301,บ้านหนองม่วง,Ban Nong Muang,19030301,19030301,14.406024927614737,100.82014113664627
19030302,บ้านโคกขี้เหล็ก,Ban Khok Khilek,19030302,19030302,14.394552428457665,100.82389488816261
19030303,บ้านตลาดเทศบาล,Ban Talat Thesaban,19030303,19030303,14.395843633653458,100.79141601920128
19030304,บ้านกระทงลอย,Ban Krathong Loi,19030304,19030304,14.38060329915702,100.81437841057777
19030305,บ้านโคกผักขะ,Ban Khok Phang Kha,19030305,19030305,14.405996351017288,100.80543324351311
19030306,บ้านหนองตาน้อย,Ban Nong Ta Noi,19030306,19030306,14.37340365924407,100.8115741610527
19030307,บ้านโคกเพ็ชร,Ban Khok Phet,19030307,19030307,14.407344642854069,100.79625204205513
19030308,บ้านโคกขาม,Ban Khok Kham,19030308,19030308,14.398315608276018,100.79915151000023
19030309,บ้านโคกขนวน,Ban Khok Khanuan,19030309,19030309,14.399543141989968,100.80687761306763
19030310,บ้านขอนชะโงก,Ban Khon Cha-ngok,19030310,19030310,14.400661555717418,100.8043684065342
19030311,บ้านโคกจาน,Ban Khok Chan,19030311,19030311,14.397960986168314,100.7923212647438
19030312,บ้านตลาดกลาง,Ban Talat Klang,19030312,19030312,14.396590,100.791325
19030313,บ้านโคกทอง,Ban Khok Thong,19030313,19030313,14.386954430942668,100.80012112855911
